# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322567,0.0437
2,3723398.1420859918,0.0918
3,2649101.3772306861,0.1538
4,2222822.2595851119,0.1901
5,2043410.2428167011,0.2421
6,2002349.2449825713,0.3134
7,1973546.1617521804,0.3780
8,1973175.1970079814,0.4320
9,1950431.5058602050,0.5230
10,1940044.4385237498,0.5788
11,1929556.0960372640,0.6347
12,1927615.6461248135,0.6993
13,1927298.5021591294,0.7848
14,1927120.0761695160,0.8534
15,1916181.2486993051,0.9723
16,1904573.7706766690,1.0398
17,1904268.9510271943,1.0948
18,1900350.2211667725,1.1908
19,1892789.5911183553,1.2525
20,1890707.2399910958,1.3161
21,1890008.9558642004,1.3778
22,1846447.8767885028,1.4386
23,1838750.1205435696,1.4835
24,1837138.8569222973,1.5326
25,1836424.5287216543,1.5818
26,1836172.8880033430,1.6310
27,1835501.6741967993,1.6672
28,1835078.1929216024,1.7035
29,1834687.0602846364,1.7527
30,1834307.4554769741,1.8018
31,1833966.8474947787,1.8510
32,1833646.2862575853,1.9002
33,1833338.0599513499,1.9493
34,1833039.6708818709,1.9985
35,1832749.7517205165,2.0476
36,1832466.5541978641,2.0968
37,1832188.8917083018,2.1459
38,1831915.9333382056,2.1951
39,1831646.2597051889,2.2443
40,1831379.0412970320,2.2934
41,1831113.8729559332,2.3426
42,1830849.7630195261,2.3918
43,1830586.4869105679,2.4410
44,1830323.6653202558,2.4901
45,1829398.6232537264,2.5537
46,1829198.8376913795,2.6072
47,1827458.7597295963,2.6550
48,1826359.4765340528,2.7086
49,1824920.7804315176,2.7621
50,1822658.0376627378,2.8285
51,1821425.7417191197,2.8821
52,1819768.5986336644,2.9312
53,1819269.0654406033,2.9804
54,1819150.0062551964,3.0296
55,1818468.9126474103,3.0658
56,1817966.5645831812,3.1020
57,1817418.0669639884,3.1511
58,1816830.4418201412,3.2005
59,1816206.0796074891,3.2506
60,1815548.9870668754,3.2998
61,1814865.4604917807,3.3489
62,1814034.8484739305,3.4053
63,1811475.7218767460,3.4617
64,1808607.8329011528,3.5209
65,1804378.4982037712,3.5802
66,1798650.0047506569,3.6394
67,1791259.5117415087,3.6957
68,1790293.6077924711,3.7449
69,1789058.2505280594,3.7942
70,1787462.1119664337,3.8444
71,1782360.7946777996,3.9109
72,1777794.1634100585,3.9803
73,1770364.4926233902,4.0369
74,1757506.5083899600,4.1683
75,1751381.6965399012,4.2867
76,1745118.2414978072,4.3821
77,1743361.0438332350,4.4242
