# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322436,0.0436
2,3723398.1420859932,0.0935
3,2649101.3772308263,0.1555
4,2222822.2596021574,0.1917
5,2043410.2440939683,0.2436
6,2002351.3026008070,0.3147
7,1973389.7240041667,0.3792
8,1973133.4142055346,0.4331
9,1972609.2379180370,0.4861
10,1950851.0877333751,0.5381
11,1940584.9585323418,0.5930
12,1930181.1725953673,0.6478
13,1927099.6591122246,0.7113
14,1926047.7984471919,0.7976
15,1914885.9881966645,0.8642
16,1903228.1487531923,0.9287
17,1902006.1026727236,0.9817
18,1901953.7687731145,1.0376
19,1897715.4159708940,1.0934
20,1889379.8648949116,1.1608
21,1878880.7848634496,1.2263
22,1878705.5448792803,1.2822
23,1873584.1829799158,1.4178
24,1867578.0167749946,1.4947
25,1860818.6534554895,1.5717
26,1852353.2331907253,1.6506
27,1851348.7663725070,1.7228
28,1845314.3264303738,1.7893
29,1840940.4229554089,1.8528
30,1834518.0028959739,1.9155
31,1831780.2984705220,1.9666
32,1831059.0828970098,2.0206
33,1828713.6883956250,2.1164
34,1827602.3663356979,2.1694
35,1826226.4209969859,2.2223
36,1825939.9442956196,2.3181
37,1825572.9558925778,2.3730
38,1825367.3955869798,2.4269
39,1824806.7826845869,2.4809
40,1824713.8512304104,2.5766
41,1824634.0446475034,2.6326
42,1824463.0537093491,2.6886
43,1824390.5611777334,2.7843
44,1824320.0839596910,2.8800
45,1824287.0240592966,2.9359
46,1824237.3812996205,2.9918
47,1794071.8022661130,3.0418
48,1778373.8403344299,3.0780
49,1778063.4307630239,3.1142
50,1777978.8825617572,3.1504
51,1777905.1284915274,3.1865
52,1777832.3935601965,3.2238
53,1777757.9651407846,3.2728
54,1777682.0103464022,3.3219
55,1777664.6276994664,3.3582
56,1777503.2609867030,3.3943
57,1777413.5834913363,3.4305
58,1777332.3815944081,3.4667
59,1777249.7486536226,3.5028
60,1777164.6395960532,3.5391
61,1777078.0214977399,3.5753
62,1776989.1685916660,3.6115
63,1776898.8229460446,3.6476
64,1776806.5068519460,3.6839
65,1776712.7649396572,3.7201
66,1776617.3257427933,3.7563
67,1776520.5686979564,3.7925
68,1776422.3702872484,3.8288
69,1776322.9880647352,3.8651
70,1776222.4107208687,3.9013
71,1776120.8149634819,3.9375
72,1776018.2545699889,3.9737
73,1775914.8822771749,4.0099
74,1775810.7823313451,4.0461
75,1775706.0267670869,4.0823
76,1775600.7191691692,4.1185
77,1775494.9521545537,4.1546
78,1775388.8115500242,4.1908
79,1774816.0124382847,4.2384
80,1774484.4480909868,4.2948
81,1773516.2940454998,4.3454
82,1772124.3059592193,4.3960
83,1769597.5436441114,4.4467
84,1769433.7010003948,4.4967
85,1769271.6186139053,4.5468
86,1769084.2114572835,4.5970
87,1768859.5508458382,4.6472
88,1768593.1848823975,4.6972
89,1768286.5086928918,4.7472
90,1768124.9517136076,4.7964
91,1766641.3210251434,4.8326
92,1763611.8875809070,4.8919
93,1761505.2659754755,4.9511
94,1755515.3379655590,5.0189
95,1750707.8048562699,5.0895
96,1748128.2288566648,5.1258
97,1744948.0757538017,5.2066
98,1741982.4817483516,5.2429
