# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322474,0.0438
2,3723398.1420859867,0.0960
3,2649101.3772308310,0.1634
4,2222822.2596015320,0.2011
5,2043410.2473248681,0.2531
6,2002351.3028720757,0.3244
7,1973453.5309758664,0.3890
8,1973282.1290536739,0.4448
9,1971103.3463932250,0.4958
10,1969295.3781583731,0.5489
11,1959635.5537909169,0.6409
12,1958311.3025569585,0.6940
13,1958141.9402409331,0.7528
14,1956776.1269090187,0.8099
15,1956539.3891585264,0.9056
16,1956191.4311421828,0.9605
17,1956057.3377935141,1.0165
18,1955988.2816677217,1.0724
19,1955846.4908340420,1.1283
20,1955764.1834506544,1.1843
21,1955656.4241008877,1.2402
22,1955583.5543158422,1.3302
23,1955481.6979859450,1.3862
24,1955321.7638779664,1.4421
25,1955136.7198618527,1.4980
26,1953550.0329687363,1.5700
27,1951981.3292351514,1.6241
28,1919884.6115213900,1.6772
29,1894301.5212778586,1.7263
30,1893082.9025308120,1.7765
31,1892654.8437301244,1.8257
32,1886384.5326529306,1.8750
33,1881542.6639259723,1.9270
34,1880928.0828256712,1.9771
35,1880370.4219399085,2.0273
36,1879838.1502397165,2.0774
37,1879311.3183573901,2.1275
38,1878781.9579254307,2.1777
39,1878240.6728832016,2.2278
40,1877675.6130809144,2.2779
41,1877080.3589571959,2.3280
42,1876447.5927593494,2.3782
43,1875774.0174843981,2.4284
44,1875057.5355204078,2.4785
45,1874298.6424607981,2.5287
46,1870247.4569311377,2.5982
47,1867029.7500528416,2.6373
48,1857279.2755137682,2.6879
49,1840803.5077240127,2.7415
50,1825955.3220952896,2.8296
51,1810726.6353674945,2.8889
52,1800591.4866044724,2.9842
53,1790320.0342030264,3.0651
54,1788690.1157808623,3.1154
55,1787458.5445286962,3.1664
56,1785181.5306865624,3.2171
57,1782045.5387346479,3.2663
58,1775439.5878627864,3.3026
59,1768742.0025608812,3.4224
60,1757048.8189524116,3.4615
61,1742934.6811362715,3.5640
