# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776587,0.0120
2,1506203.5600746709,0.0247
3,1127133.1806397107,0.0392
4,820037.3684095285,0.0528
5,497540.1090254564,0.0692
6,373473.4895245053,0.0864
7,312813.0363808313,0.1126
8,285659.1643527875,0.1289
9,271070.7566798575,0.1410
10,265559.8491159183,0.1540
11,262360.0313992520,0.1668
12,258725.3380201415,0.1784
13,257432.3269052399,0.1901
14,255127.4349194788,0.1991
15,253915.7774968813,0.2081
16,253204.5042795702,0.2172
17,252796.0555074615,0.2261
18,252186.4465463186,0.2352
19,251721.1173578379,0.2442
20,251342.4202871377,0.2532
21,251032.8109445295,0.2622
22,250775.3980438331,0.2712
23,250558.2796619105,0.2803
24,250372.8455937509,0.2893
25,250212.7115707242,0.2983
26,250073.0245169846,0.3073
27,249950.0065176724,0.3163
28,249840.8136107006,0.3253
29,249743.2255039928,0.3343
30,249358.7597687640,0.3433
31,249197.5889021178,0.3524
32,249057.6361844266,0.3613
33,248935.1940677110,0.3704
34,248826.8732837256,0.3794
35,248730.0334117144,0.3884
36,248642.6073852885,0.3975
37,248562.9663635520,0.4065
38,248419.8060161355,0.4165
39,248405.4228770386,0.4291
40,248402.0693221918,0.4418
41,248377.6432248354,0.4508
42,248354.7483707155,0.4599
43,248332.4956093977,0.4689
44,248310.8452607335,0.4780
45,248289.7610193017,0.4870
46,248269.2088850940,0.4960
47,248249.1569833566,0.5050
48,248229.5754969699,0.5140
49,248210.4365997943,0.5230
50,248175.1312862457,0.5330
51,248168.6969402106,0.5456
52,248110.9964359470,0.5653
53,248038.8851963007,0.5753
54,248031.9017023668,0.5852
55,247979.1344389606,0.5942
56,247902.1474202729,0.6042
57,247895.9932378127,0.6141
58,247848.3013186632,0.6231
59,247828.8448015580,0.6321
60,247809.8933570853,0.6411
61,247721.0446251330,0.6510
62,247699.0483549896,0.6610
63,247687.8822609372,0.6700
64,247682.5777318776,0.6816
65,247677.7960126919,0.6933
66,247673.1290755389,0.7050
67,247668.4461942782,0.7167
68,247663.7059936085,0.7284
69,247658.8917595461,0.7400
70,247653.9922113058,0.7517
71,247648.9998652945,0.7634
72,247643.9135129799,0.7750
73,247638.7173938124,0.7867
74,247633.4134495944,0.7984
75,247627.9843268760,0.8100
76,247622.3900785185,0.8217
77,247616.4052846046,0.8334
78,247550.0187709529,0.8477
79,247372.3062432387,0.8577
80,247245.2187601368,0.8676
81,247026.1835735990,0.8855
82,247009.2011768702,0.8946
83,246992.0635967385,0.9036
84,246975.3747465847,0.9127
85,246866.9818729227,0.9235
86,246865.5084068431,0.9353
87,246803.0021830021,0.9444
88,246696.6622674200,0.9552
89,246695.3809437204,0.9670
90,246568.6315497946,0.9770
91,246482.1815868063,0.9878
92,246479.0223366582,0.9995
93,246375.0354411937,1.0121
94,246268.5460465378,1.0247
95,246165.4458191687,1.0346
96,245997.0696108179,1.0445
97,245774.3142117076,1.0545
98,245655.5405258829,1.0644
99,245639.5974617595,1.0761
100,245625.3784798867,1.0878
101,245611.0254946145,1.0994
102,245595.9048068292,1.1111
103,245579.8221220652,1.1228
104,245562.7550309505,1.1345
105,245544.7591258899,1.1461
106,245525.9334615114,1.1578
107,245506.4060927953,1.1694
108,245486.3249964678,1.1811
109,245465.8518595636,1.1927
110,245445.1564397704,1.2044
111,245424.4109062392,1.2161
112,245403.7851163156,1.2278
113,245383.4434820613,1.2394
114,245363.5426760336,1.2511
115,245344.2282972799,1.2627
116,245325.6206600736,1.2744
117,245307.8060005992,1.2861
118,245290.8424540669,1.2977
119,245274.7687797281,1.3094
120,245259.6042311440,1.3211
121,245245.3465416938,1.3327
122,245231.9730445323,1.3444
123,245219.4434282668,1.3561
124,245207.7057089215,1.3677
125,245196.7009801765,1.3794
126,245186.3680672856,1.3911
127,245176.6451855948,1.4028
128,245167.4722280244,1.4144
129,245158.7906927828,1.4261
130,245150.5452259882,1.4378
131,245142.6835129544,1.4495
132,245135.1569356904,1.4611
133,245127.9199599724,1.4728
134,245120.9297241530,1.4845
135,245114.1398945043,1.4962
136,245107.4767940637,1.5078
137,245100.4787768173,1.5195
138,245097.8282553101,1.5312
139,245071.0290558734,1.5402
140,245018.8451753506,1.5569
141,244976.0378413688,1.5688
142,244957.8462750174,1.5806
143,244956.7476750143,1.5925
144,244955.8904143806,1.6044
145,244955.1740461370,1.6162
146,244954.5636945156,1.6282
147,244954.0357036805,1.6400
148,244953.5733335960,1.6519
149,244953.1642028953,1.6638
150,244952.7989618103,1.6757
151,244950.7800046097,1.6901
152,244948.2528468362,1.7249
153,244948.0288770683,1.7394
154,244947.6680738628,1.7732
155,244947.6138268864,1.7876
156,244947.3004008373,1.8160
157,244947.2639420326,1.8304
158,244947.2230008741,1.8616
159,244947.1742794923,1.8706
160,244947.1345875859,1.8796
