# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776591,0.0120
2,1506203.5600746707,0.0248
3,1127133.1806397147,0.0393
4,820037.3684094297,0.0529
5,497540.1090282310,0.0693
6,373473.4894706451,0.0865
7,312813.0364616106,0.1128
8,285659.0954946313,0.1291
9,271070.7168795345,0.1411
10,265559.8412284720,0.1542
11,262360.0569376196,0.1669
12,258725.3750893698,0.1786
13,257432.5619828724,0.1903
14,255127.5524496350,0.1994
15,253914.7656496014,0.2084
16,253204.0847871253,0.2174
17,252795.9811638288,0.2264
18,252186.4451084423,0.2354
19,251721.1145292405,0.2444
20,251342.4159547003,0.2534
21,251032.8049621691,0.2624
22,250775.3908147391,0.2715
23,250558.2706476926,0.2805
24,250372.8350502838,0.2896
25,250212.6997401436,0.2986
26,250073.0107545841,0.3076
27,249949.9909653122,0.3166
28,249840.7966294102,0.3256
29,249743.2074087356,0.3346
30,249358.7412459781,0.3436
31,249197.5706285907,0.3526
32,249057.6182480591,0.3616
33,248935.1770487014,0.3706
34,248826.8572691150,0.3797
35,248730.0186164483,0.3887
36,248642.5939615601,0.3977
37,248562.9543712180,0.4067
38,248419.8035691313,0.4167
39,248405.4211886431,0.4292
40,248402.0661484401,0.4420
41,248377.6385633065,0.4510
42,248354.7407630685,0.4601
43,248332.4845858020,0.4691
44,248310.8300796778,0.4781
45,248289.7407135899,0.4871
46,248269.1817857176,0.4961
47,248249.1202097172,0.5051
48,248229.5232616475,0.5142
49,248210.3560344446,0.5232
50,248174.9693761029,0.5332
51,248168.1102369603,0.5457
52,248157.6962565870,0.5583
53,248082.1290182623,0.5709
54,247853.9565306185,0.5808
55,247831.9780162087,0.5899
56,247535.7866162967,0.5989
57,247148.3838851341,0.6355
58,246961.4952220711,0.6492
59,246955.3888842788,0.6611
60,246948.8380877159,0.6729
61,246941.4975488103,0.6848
62,246933.1837507219,0.6967
63,246923.8278679271,0.7086
64,246913.4461666402,0.7205
65,246902.1182222494,0.7324
66,246889.9578027772,0.7442
67,246877.0999704681,0.7561
68,246863.6887312311,0.7680
69,246849.8627464975,0.7799
70,246835.7495644582,0.7917
71,246821.4622594191,0.8036
72,246807.0984925027,0.8155
73,246792.7344869384,0.8273
74,246778.4402555912,0.8392
75,246764.2567567003,0.8511
76,246750.2304018615,0.8629
77,246736.3757105583,0.8748
78,246722.7132165096,0.8867
79,246709.1948651641,0.8986
80,246541.5109699898,0.9085
81,246508.4654532826,0.9202
82,246467.9219449902,0.9373
83,246402.6233014184,0.9702
84,246391.2976339397,0.9839
85,246387.3427609350,0.9956
86,246383.9518602892,1.0072
87,246366.3332505627,1.0162
88,246353.1418994908,1.1063
89,246352.3675080590,1.1178
90,246351.6840613160,1.1294
91,246351.0110936508,1.1411
92,246350.3169370047,1.1528
93,246349.5896461847,1.1645
94,246348.8283882271,1.1761
95,246348.0377605705,1.1878
96,246347.2246391977,1.1995
97,246344.7236622560,1.2138
98,246340.7979244029,1.2956
99,246338.8206216002,1.3249
100,246338.2689752442,1.3393
101,246336.1520164364,1.4146
102,246335.5967773714,1.4237
103,246335.1268760767,1.4326
104,246334.6641684518,1.4416
105,246334.1680693294,1.4506
106,246333.6287382497,1.4596
107,246332.0724583301,1.4731
108,246331.7589701813,1.5036
109,246330.3199427947,1.5903
