# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357430,0.0000
1,2170136.3176783477,0.0121
2,869806.2790742532,0.0247
3,567418.6040721688,0.0415
4,400594.1646215610,0.0507
5,371447.4905175820,0.0658
6,362562.8273577394,0.0748
7,360836.3578532626,0.1032
8,359914.4363762480,0.1278
9,359383.8818635100,0.1396
10,359238.1336728671,0.1514
11,359181.3700026472,0.1632
12,359164.1108436971,0.1750
13,358997.2582487104,0.1840
14,358972.5493882385,0.1932
15,358960.5068063798,0.2050
16,358958.3719680727,0.2170
17,358952.0522874008,0.2343
18,358949.8869298653,0.2433
19,358949.2723501968,0.2551
20,358948.9286544550,0.2670
21,358948.6335371496,0.2787
22,358948.3488082238,0.2905
23,358948.0807995059,0.3023
24,358947.8143314527,0.3141
25,358947.5538656795,0.3258
26,358947.2437045405,0.3349
27,358946.9287906347,0.3440
28,358946.6153937534,0.3530
29,358946.3014030758,0.3621
30,358945.9868138751,0.3712
31,358945.6728600927,0.3802
32,358945.3625154693,0.3893
33,358945.0515579597,0.3984
