# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357355,0.0000
1,2170136.3176783468,0.0130
2,869806.2790742542,0.0269
3,567418.6040721695,0.0457
4,400594.1646215616,0.0557
5,371447.4905175932,0.0725
6,362562.8273579605,0.0826
7,360836.3577741114,0.1144
8,359914.5327322820,0.1419
9,359384.0941646287,0.1550
10,359238.4233751862,0.1681
11,359181.6745215851,0.1812
12,359164.4221996522,0.1937
13,358999.1641922882,0.2027
14,358972.8559536469,0.2116
15,358960.9288210013,0.2233
16,358958.8088845759,0.2352
17,358952.4953586805,0.2522
18,358950.3691754757,0.2612
19,358949.7439998156,0.2728
20,358949.3982551855,0.2845
21,358949.1024075543,0.2962
22,358948.8190830829,0.3078
23,358948.5483109769,0.3195
24,358948.2855069877,0.3312
25,358947.9720329887,0.3401
26,358947.6542146899,0.3491
27,358947.3527888551,0.3580
28,358947.0428380283,0.3670
29,358946.7312181819,0.3759
30,358946.4231139714,0.3848
31,358946.1141104196,0.3938
32,358945.8081437071,0.4027
33,358945.5198449949,0.4117
