# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322520,0.0438
2,3723398.1420859969,0.0962
3,2649101.3772308133,0.1635
4,2222822.2596019036,0.1999
5,2043410.2440588113,0.2520
6,2002351.3914935177,0.3233
7,1976094.0289782041,0.3878
8,1975443.9842167313,0.4752
9,1974963.0454134292,0.5301
10,1974419.5197495010,0.6175
11,1973980.2295871270,0.6715
12,1939119.6050925802,0.7570
13,1936715.4502022162,1.0119
14,1922270.6398383300,1.0649
15,1899117.7659113600,1.1622
16,1883770.6352234464,1.2450
17,1861279.4643646583,1.3270
18,1861269.7125460641,1.5188
19,1861201.0033527848,1.5698
20,1861153.7288480655,1.7046
21,1861058.2398340679,1.7710
22,1861009.8394948654,1.8372
23,1860961.7794382055,1.8735
24,1860863.6271591168,1.9259
25,1860832.2466523522,2.0309
26,1860830.9509287446,2.0981
27,1860828.4842510109,2.1344
28,1860827.6091728343,2.1836
29,1860825.9343889798,2.2198
30,1860823.4134440550,2.2723
31,1860821.1938260372,2.3247
32,1860820.9605327419,2.3911
33,1860820.4330086468,2.4564
34,1860819.6843572545,2.5088
35,1860817.6088246508,2.5613
36,1860817.5979327215,2.8074
37,1860817.5977319665,3.0011
38,1860817.5975635152,3.0372
39,1860817.5973620387,3.0894
40,1860817.5972169889,3.1416
41,1860817.5969913714,3.1938
