# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322530,0.0427
2,3723398.1420859965,0.0909
3,2649101.3772306582,0.1531
4,2222822.2595855696,0.1894
5,2043410.2400423733,0.2416
6,2002344.3442220918,0.3128
7,1973398.2014778587,0.3774
8,1973063.7335184244,0.4503
9,1972952.6926993043,0.5063
10,1952053.7382263620,0.5612
11,1950706.6990426504,0.6142
12,1933644.8836751103,0.6843
13,1920424.0287426449,0.7860
14,1919177.9525597207,0.8392
15,1901597.4653710327,0.8912
16,1879846.2979279796,1.5219
17,1878307.2270910703,1.6442
18,1877913.0614786353,2.0043
19,1877608.2297978348,2.3992
20,1876959.3805500264,2.4675
21,1876221.6198135894,2.5251
22,1875220.6891255083,2.5914
23,1874784.7187300178,2.6500
24,1874594.3237407317,2.7172
25,1874485.3899131566,2.7760
26,1874224.1429927573,2.8122
27,1873828.5311077633,2.8570
28,1873702.5036359925,2.9147
29,1873496.6783368078,2.9725
30,1873393.1315839265,3.0312
31,1873348.6255029936,3.0909
32,1873321.8082268056,3.1505
33,1873260.0543944577,3.2092
34,1873168.0631839521,3.2966
35,1873107.4135795846,3.3413
36,1873003.1192904382,3.3861
37,1872978.4607450671,3.4439
38,1872919.8818913563,3.4887
39,1872812.7563900060,3.5335
40,1872790.0092300812,3.6209
41,1872785.4385242371,3.6787
42,1872782.8242284833,3.7148
43,1872771.3805824898,3.7510
44,1872770.7128116118,3.8097
45,1872769.4395241071,3.8459
46,1872764.9487393387,3.8820
47,1872764.4687268499,3.9448
48,1872764.3353575575,4.0035
49,1872764.1557148034,4.0776
50,1872764.1209053008,4.1518
51,1872764.1039657148,4.1965
52,1872764.0988735179,4.2326
53,1872764.0735799372,4.2688
54,1872764.0426711624,4.3135
55,1872764.0424538529,4.4257
56,1872764.0422782747,4.4618
