# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322446,0.0402
2,3723398.1420859983,0.0882
3,2649101.3772307816,0.1501
4,2222822.2595968223,0.1861
5,2043410.2440583769,0.2379
6,2002353.1427318617,0.3089
7,1974787.4616508868,0.3732
8,1974438.8917260910,0.4271
9,1950414.9351580224,0.5177
10,1940023.3845043271,0.5733
11,1929560.4698735799,0.6291
12,1927617.0541146696,0.6935
13,1927283.8229964625,0.7787
14,1927108.3498491498,0.8472
15,1915479.1867270744,0.9660
16,1903233.3519779602,1.0334
17,1902821.2734719242,1.0884
18,1900037.2940625453,1.1842
19,1892882.5474333856,1.2468
20,1886047.8337675126,1.3094
21,1879743.7509276241,1.3749
22,1874973.2920309799,1.5107
23,1870218.0477183198,1.5752
24,1863576.1825668849,1.6454
25,1855796.5027327966,1.7157
26,1854331.0972794902,1.7831
27,1854008.5563419990,1.8524
28,1846909.6378447465,1.9770
29,1842491.3404896606,2.0966
30,1837882.4603491409,2.1668
31,1837865.1847647124,2.4400
32,1837838.5808780012,2.4950
33,1837828.4339186489,2.5889
34,1837805.6106933358,2.6817
35,1837801.9845445657,2.7376
36,1837479.6908846966,2.7897
37,1837391.0396791645,2.8437
38,1837369.0726653247,2.9326
39,1837369.0720917678,3.1073
40,1837369.0666779224,3.1585
41,1837369.0540855560,3.2098
42,1837369.0168961685,3.2590
43,1837368.6000170775,3.2953
44,1837368.2668267917,3.3315
45,1837368.1212045723,3.3676
46,1837367.6830047946,3.4039
47,1837366.4918502711,3.4400
48,1837364.6061085956,3.4762
49,1837364.3062765768,3.5123
50,1837363.9098153203,3.5484
51,1837363.0756081038,3.5845
52,1837362.7286357430,3.6206
53,1837362.7272427864,3.7373
54,1837362.7272141322,3.8336
