# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322464,0.0435
2,3723398.1420859932,0.0916
3,2649101.3772307863,0.1537
4,2222822.2595969392,0.1898
5,2043410.2473132438,0.2418
6,2002353.0621003092,0.3130
7,1973416.2578080196,0.3775
8,1973019.1461123507,0.4694
9,1972798.3676643211,0.5243
10,1956034.3801772748,0.5793
11,1951666.7629617096,0.6713
12,1949712.0313898376,0.7252
13,1948129.8659218287,0.7792
14,1946730.8803763867,0.8343
15,1945457.9459169074,0.8873
16,1944583.5621328289,0.9403
17,1943335.7375392669,0.9934
18,1943204.8297143788,1.0493
19,1942884.2503381874,1.1452
20,1942616.7665070377,1.2011
21,1942338.9599224706,1.2561
22,1941957.9294941647,1.3111
23,1941859.4268502176,1.4069
24,1941716.6529792764,1.4628
25,1941579.0585774954,1.5188
26,1941406.8052293831,1.5748
27,1941218.3892892532,1.6307
28,1940897.3688183059,1.7427
29,1940591.2332012567,1.7986
30,1940312.5216282168,1.8545
31,1940019.0416075324,1.9104
32,1939718.4620438470,1.9654
33,1939385.2493383200,2.0204
34,1939186.1221684744,2.0763
35,1938881.4522015208,2.1323
36,1938572.7512467639,2.1872
37,1938220.6044802961,2.2422
38,1938008.3363388078,2.2982
39,1937692.6965404782,2.3541
40,1937374.2157540726,2.4092
41,1937045.8199271408,2.4641
42,1936808.2511229520,2.5199
43,1936488.6491385032,2.5758
44,1935846.0286500521,2.6338
45,1909264.9503294597,2.6729
46,1890352.8413386371,2.7091
47,1885881.3358914189,2.7454
48,1884104.3846771365,2.7816
49,1882430.9664245448,2.8207
50,1881107.3213523191,2.8569
51,1879672.6343427135,2.8932
52,1878867.2870874754,2.9295
53,1878198.5274444618,2.9656
54,1877541.1166603209,3.0019
55,1876884.2218459118,3.0380
56,1876227.1453315052,3.0743
57,1875569.6695364306,3.1105
58,1874911.2228989420,3.1467
59,1871488.5758018468,3.1915
60,1870595.5279803402,3.2407
61,1864712.6610075233,3.2855
62,1861887.2017312699,3.3548
63,1859356.0620848762,3.3910
64,1853028.0710156877,3.4473
65,1844668.3216380498,3.5037
66,1834332.7879844513,3.5602
67,1831324.9787655906,3.6165
68,1812928.3254983756,3.6527
69,1810860.5246423038,3.7120
70,1796679.7894682875,3.7482
71,1783823.3070056881,3.8592
72,1773372.4994392118,3.9790
73,1764688.7688372007,4.0915
74,1756612.6482126312,4.1560
75,1747917.5720405339,4.2051
76,1743776.3811400002,4.3128
