# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776582,0.0122
2,1506203.5600746702,0.0249
3,1127133.1806397128,0.0395
4,820037.3684094342,0.0531
5,497540.1090264397,0.0695
6,373473.4894606686,0.0868
7,312813.0361505047,0.1131
8,285659.2804426632,0.1293
9,271070.8368051624,0.1414
10,265559.9386853433,0.1545
11,262360.0403083295,0.1672
12,258725.3055832679,0.1789
13,257432.8671538160,0.1906
14,252272.7456965572,0.2265
15,250299.6251131022,0.2618
16,249710.8859287543,0.2736
17,249336.3192541668,0.2951
18,249100.0697020651,0.3123
19,249023.6108182988,0.3339
20,248355.9242036341,0.3430
21,247982.0358500826,0.5796
22,247862.5243974548,0.5932
23,247794.1778953916,0.6048
24,247698.6280232949,0.6238
25,247570.5943518966,0.6417
26,247455.2818395141,0.6598
27,247354.0557230231,0.6778
28,247265.7759654760,0.6957
29,247188.8017794853,0.7137
30,247121.4450896352,0.7318
31,247031.8762216611,0.7623
32,246967.5068306152,0.7971
33,246950.3856328106,0.8061
34,246889.1367045419,0.8152
35,246871.1459122517,1.0780
36,246856.1500706676,1.1422
37,246832.0984234748,1.1549
38,246817.8974594020,1.1684
39,246794.5373760948,1.1774
40,246780.9640407501,1.1909
41,246754.9290435181,1.1999
42,246730.0839943981,1.2089
43,246720.3225603265,1.2224
44,246689.8565943777,1.2315
45,246680.7775207882,1.4203
46,246672.7278838351,1.4294
47,246664.2967360332,1.4385
48,246655.3146977769,1.4474
49,246646.3055789949,1.4565
50,246637.5687049968,1.4655
51,246629.2100137870,1.4745
52,246621.2502608587,1.4835
53,246613.6901554424,1.4925
54,246606.6291139932,1.5015
55,246600.2076687304,1.5105
56,246594.3651155448,1.5195
57,246589.0285145508,1.5285
58,246587.5310610835,1.5402
59,246580.5206430387,1.5492
60,246576.9703413763,1.6824
61,246574.2060215777,1.6915
62,246571.0725321324,1.7005
63,246567.0674760301,1.7095
64,246562.5972949816,1.7185
65,246558.0339907236,1.7276
66,246553.5725208795,1.7366
67,246549.2923952923,1.7456
68,246545.2172235488,1.7546
69,246541.3474926965,1.7636
70,246537.6754516943,1.7726
71,246534.1378287888,1.7817
72,246530.7528707431,1.7907
73,246527.6880543865,1.7997
74,246524.9207060714,1.8088
75,246522.4116032480,1.8178
76,246520.1252774729,1.8268
77,246518.3254624023,1.8403
78,246516.2246887856,1.8493
79,246514.2131087699,1.8584
80,246512.6813693880,1.8719
81,246510.8049336815,1.8809
82,246508.9944141778,1.8899
83,246507.6764518302,1.9034
84,246505.9894750805,1.9124
85,246504.3541593836,1.9215
86,246503.2277701255,1.9350
87,246501.7072840512,1.9440
88,246500.2265276160,1.9530
89,246499.2724985047,1.9666
90,246497.8986686026,1.9756
91,246496.5546751779,1.9846
