# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776591,0.0122
2,1506203.5600746700,0.0249
3,1127133.1806397093,0.0394
4,820037.3684094361,0.0530
5,497540.1090292226,0.0694
6,373473.4894281437,0.0866
7,308237.6858387926,0.1133
8,283772.8941201204,0.1304
9,280373.8928506076,0.1443
10,276558.6403071073,0.1581
11,274164.1759648203,0.1709
12,270912.5567819692,0.1827
13,270183.0190045427,0.1955
14,265552.7300298182,0.2214
15,264408.4083896959,0.3074
16,257222.8572426681,0.3202
17,256656.0266691446,0.3982
18,256108.2129838211,0.4164
19,255670.3931887950,0.4304
20,255178.4227711108,0.4394
21,255010.8732054611,0.4587
22,254781.5190171834,0.4870
23,254520.1360039819,0.4988
24,254361.2483663121,0.5108
25,254074.7836672519,0.5198
26,253831.6418554934,0.5391
27,253655.9203842219,0.5730
28,253564.2986644486,0.5868
29,253435.2043717159,0.6009
30,253317.8378721918,0.6141
31,253209.5332407520,0.6274
32,253110.6407055243,0.6406
33,253021.3596923365,0.6538
34,252941.4263680532,0.6670
35,252870.2155189737,0.6802
36,252856.2079034898,0.6940
37,252743.3531536515,0.7030
38,252680.4913329320,0.8523
39,252665.6685644755,0.8614
40,252641.4186614053,0.8704
41,252604.4803652430,0.8794
42,252563.7400976947,0.8884
43,252522.8460194637,0.8974
44,252489.0617938896,0.9065
45,252461.3607089472,0.9155
46,252450.3972854911,0.9266
47,252425.9553826023,0.9357
48,252403.0877398158,0.9447
49,252395.7194518900,0.9559
50,252364.5794272777,0.9649
51,252354.1956165836,1.1983
52,252346.3263399553,1.3707
53,252339.7922597767,1.3797
54,252333.0029492610,1.3888
55,252325.5351953813,1.3978
56,252317.8910930003,1.4069
57,252310.4060369967,1.4159
58,252303.2158145491,1.4249
59,252296.3579299702,1.4339
60,252289.8322759570,1.4429
61,252283.6172253834,1.4519
62,252277.8094992405,1.4610
63,252272.5335135265,1.4700
64,252267.7376879115,1.4790
65,252263.3610016316,1.4880
66,252259.3501477274,1.4970
67,252255.6705290585,1.5082
68,252251.9427317296,1.5172
69,252248.4354083798,1.5262
70,252245.2631056135,1.5373
71,252241.9719754747,1.5464
72,252238.8610758863,1.5554
73,252236.1143426795,1.5695
74,252233.1953544998,1.5786
75,252230.4263284084,1.5876
76,252228.0489350773,1.5988
77,252225.4526689863,1.6078
78,252222.9805312482,1.6168
79,252220.9218442703,1.6279
80,252218.6064812492,1.6369
81,252216.3929641944,1.6459
82,252214.6108659415,1.6570
83,252212.5408702736,1.6660
84,252210.5535550771,1.6750
85,252209.0140790062,1.6862
86,252207.1589547275,1.6952
87,252205.3700519019,1.7042
88,252204.0449527585,1.7153
89,252202.3782989209,1.7243
90,252200.7637858091,1.7333
91,252199.6290380125,1.7445
92,252198.1278605063,1.7535
93,252196.6669059454,1.7625
