# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776624,0.0122
2,1506203.5600746707,0.0249
3,1127133.1806397105,0.0394
4,820037.3684094285,0.0530
5,497540.1090291477,0.0694
6,373473.4894397900,0.0866
7,312813.0364192327,0.1129
8,285659.2241146954,0.1291
9,271070.8054861978,0.1412
10,265559.8880986164,0.1542
11,262360.0538974818,0.1671
12,258725.3403874174,0.1787
13,257433.1381450577,0.1904
14,255127.5051205809,0.1994
15,253915.2051265466,0.2084
16,253204.1573006289,0.2174
17,252795.8764459007,0.2264
18,252186.3908938313,0.2355
19,251721.0590727965,0.2445
20,251342.3589164042,0.2535
21,251032.7460842264,0.2625
22,250775.3296151234,0.2715
23,250558.2073275855,0.2805
24,250372.7692154677,0.2895
25,250212.6307860239,0.2985
26,250072.9381379857,0.3075
27,249949.9151335391,0.3165
28,249840.7181982376,0.3255
29,249743.1276615111,0.3345
30,249358.6617504817,0.3435
31,249197.4934465076,0.3525
32,249057.5447433435,0.3615
33,248935.1078607509,0.3705
34,248826.7930220953,0.3795
35,248729.9597668090,0.3885
36,248642.5408201506,0.3975
37,248562.9068732883,0.4066
38,248419.7668425851,0.4165
39,248405.3939530126,0.4291
40,248402.0256735581,0.4419
41,248377.5992223282,0.4509
42,248354.7033607120,0.4599
43,248332.4491129019,0.4690
44,248310.7967882875,0.4780
45,248289.7101257224,0.4870
46,248269.1550455064,0.4960
47,248249.1000004941,0.5050
48,248229.5149224275,0.5140
49,248210.3715363272,0.5231
50,248174.9897044042,0.5330
51,248168.5446326084,0.5456
52,248161.7385022864,0.5636
53,248155.0023839688,0.5726
54,248146.3814262747,0.5826
55,248130.4665543454,0.5925
56,248115.4301087329,0.6024
57,248090.9351639995,0.6123
58,248084.6966686497,0.6223
59,248079.7623493354,0.6322
60,248075.1080032111,0.6422
61,248070.7066050008,0.6521
62,248066.5517620501,0.6620
63,248062.6355925218,0.6719
64,248058.9504477188,0.6819
65,248055.4879140809,0.6918
66,248039.2549213014,0.7008
67,248029.3978656049,0.7098
68,248026.0197168716,0.7198
69,248009.6891554264,0.7288
70,248000.0049435814,0.7378
71,247996.6708146680,0.7478
72,247980.2613058565,0.7568
73,247970.7494549792,0.7658
74,247967.4379993475,0.7757
75,247950.9689920583,0.7848
76,247941.6287068187,0.7938
77,247938.3144443826,0.8037
78,247921.8055564866,0.8127
79,247912.6356985441,0.8217
80,247909.2899217769,0.8317
81,247892.7606980007,0.8407
82,247883.7597904543,0.8497
83,247880.3496680067,0.8597
84,247878.3382839722,0.8687
85,247861.2975227657,0.8777
86,247852.2767481637,0.8868
87,247850.5782215980,0.8957
88,247833.7142462186,0.9048
89,247824.9243387448,0.9138
90,247820.9162359781,0.9237
91,247819.5045940441,0.9327
92,247802.1657811605,0.9417
93,247793.3417027491,0.9507
94,247792.1808213598,0.9597
95,247775.0701357828,0.9687
96,247766.4732633975,0.9777
97,247761.5694179437,0.9876
98,247744.6179531875,1.0020
99,247736.2154332545,1.0110
100,247730.9870747416,1.0209
101,247714.2100316796,1.0353
102,247706.0013020230,1.0443
103,247700.3943318800,1.0542
104,247683.8114772119,1.0686
105,247675.7955171233,1.0776
106,247669.7513229658,1.0875
107,247653.3823873732,1.1019
108,247645.5586491227,1.1109
109,247639.0179011524,1.1208
110,247622.8826924621,1.1352
111,247615.2511108441,1.1442
112,247608.1584623078,1.1541
113,247606.0765960909,1.1658
114,247605.6210822643,1.1784
115,247603.4243663140,1.1873
116,247601.4917673509,1.1973
117,247600.5980897555,1.2063
118,247599.7063700913,1.2153
119,247598.8164473255,1.2244
120,247597.9277998510,1.2333
121,247597.0400208806,1.2424
122,247596.1526831018,1.2514
123,247595.2653686121,1.2604
124,247594.3776562819,1.2694
125,247593.4891266594,1.2784
126,247592.5993597200,1.2874
127,247591.7079378484,1.2963
128,247590.8144411544,1.3054
