# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776578,0.0121
2,1506203.5600746700,0.0249
3,1127133.1806397114,0.0394
4,820037.3684094204,0.0530
5,497540.1090263697,0.0694
6,373473.4894735998,0.0867
7,312813.0362575215,0.1129
8,285659.2838783192,0.1292
9,271070.8402766022,0.1412
10,265559.9198565532,0.1542
11,262360.0231636155,0.1670
12,258725.2848085956,0.1787
13,257432.8893541856,0.1904
14,255127.0314962668,0.1994
15,253915.3743955913,0.2084
16,253204.4113299524,0.2174
17,252796.0063890562,0.2265
18,252186.4139540181,0.2355
19,251721.0825785057,0.2445
20,251342.3821928574,0.2535
21,251032.7688697619,0.2625
22,250775.3516144471,0.2716
23,250558.2283658303,0.2806
24,250372.7891032653,0.2896
25,250212.6495166016,0.2986
26,250072.9562661555,0.3077
27,249949.9324675357,0.3167
28,249840.7342365269,0.3257
29,249743.1422602018,0.3347
30,249358.6834513644,0.3437
31,249197.5152498341,0.3527
32,249057.5662422318,0.3617
33,248935.1288420703,0.3707
34,248826.8133936831,0.3798
35,248729.9794146403,0.3888
36,248642.5598193496,0.3978
37,248562.9251993970,0.4068
38,248419.7811316880,0.4168
39,248405.3967212626,0.4294
40,248402.0392399174,0.4422
41,248377.6153263789,0.4512
42,248354.7220959326,0.4602
43,248332.4707911453,0.4692
44,248310.8217663002,0.4782
45,248289.7386809795,0.4872
46,248269.1875044640,0.4963
47,248249.1364382402,0.5052
48,248229.5556525890,0.5142
49,248210.4172677913,0.5233
50,248175.1020411063,0.5332
51,248168.6725597495,0.5458
52,248161.8942046173,0.5638
53,248155.2542422111,0.5728
54,248147.2447281175,0.5828
55,248144.9908521975,0.5927
56,248134.8236890211,0.6017
57,248114.7515919936,0.6116
58,248106.8459023401,0.6216
59,248103.5505835688,0.6315
60,248078.6461424356,0.6414
61,248065.7277698491,0.6513
62,248060.7494965759,0.6613
63,248056.3080897078,0.6712
64,248052.1056586573,0.6812
65,248048.1320249276,0.6911
66,248044.3788240613,0.7011
67,248040.8380964756,0.7110
68,248024.7333693716,0.7200
69,248015.0476170222,0.7290
70,248011.5722677056,0.7390
71,247995.3628601120,0.7480
72,247985.8381301844,0.7570
73,247982.3893765017,0.7670
74,247966.0954242735,0.7760
75,247956.7325773292,0.7850
76,247953.2900659599,0.7950
77,247936.9325890785,0.8040
78,247927.7321646409,0.8130
79,247924.2705986225,0.8230
80,247921.7250211046,0.8320
81,247904.8390704881,0.8410
82,247895.6303482043,0.8500
83,247892.0441722081,0.8600
84,247889.8940266626,0.8690
85,247872.5046153244,0.8780
86,247863.2825347052,0.8871
87,247861.4555674954,0.8960
88,247844.2553496514,0.9051
89,247835.2741682785,0.9141
90,247831.0799704475,0.9241
91,247829.5509251376,0.9330
92,247811.8847369402,0.9421
93,247802.8786678473,0.9511
94,247801.6099207297,0.9601
95,247784.1865636247,0.9691
96,247775.4181226620,0.9781
97,247770.3255185458,0.9880
98,247753.0784736983,1.0024
99,247744.5159608053,1.0114
100,247739.1038682979,1.0213
101,247722.0488961339,1.0356
102,247713.6918039777,1.0446
103,247707.9068379425,1.0546
104,247691.0640985434,1.0690
105,247682.9112444092,1.0780
106,247676.6966274695,1.0880
107,247660.0858247219,1.1023
108,247652.1363122402,1.1114
109,247645.4308502526,1.1213
110,247629.0715009100,1.1357
111,247588.5735789212,1.1456
112,247586.6251593200,1.1572
113,247586.2046575235,1.1698
114,247584.1261789958,1.1788
115,247582.3340168014,1.1888
116,247580.5297382414,1.1987
117,247579.6954446780,1.2078
118,247578.8636918903,1.2168
119,247578.0341968905,1.2258
120,247577.2064763115,1.2348
121,247576.3801219849,1.2438
122,247575.5547169934,1.2528
123,247574.7298475897,1.2619
124,247573.9050994953,1.2709
125,247573.0800600481,1.2799
126,247572.2543157617,1.2889
127,247571.4274528541,1.2979
