# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2104980.2500122949,0.0237
2,1506370.3252980520,0.0512
3,1393631.4253158162,0.1150
4,1263249.4746806778,0.1259
5,1144304.1349605727,0.1386
6,997550.2335733054,0.1531
7,871079.1292512696,0.1685
8,655908.6830915312,0.1840
9,458397.9942686577,0.2004
10,397107.8909383297,0.2180
11,307201.2472968782,0.2298
12,279436.9806599771,0.2416
13,275530.1791839406,0.2506
14,260616.5612895142,0.2596
15,259206.6505007669,0.2686
16,248026.0829912724,0.2775
17,245867.3763844063,0.2893
18,245594.1502386733,0.2983
19,244372.1030421504,0.3073
20,243819.3526292117,0.3522
21,243381.9997053190,0.3741
