# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2104980.2502044505,0.0131
2,1506370.3247742830,0.0258
3,1136554.7183692467,0.0432
4,834359.3071193490,0.0568
5,512039.8685521075,0.0732
6,377416.7140965834,0.0915
7,336140.5395001151,0.1089
8,323075.6696859193,0.1252
9,293560.6876640360,0.1369
10,287031.3675926616,0.1485
11,282798.0430764172,0.1696
12,281299.0684210184,0.1813
13,277792.6402407444,0.1936
14,276180.8593525173,0.2058
15,273690.6904814448,0.2179
16,270569.9177849828,0.2298
17,269745.8356996724,0.2388
18,267363.4580684888,0.2478
19,266501.7799427917,0.2568
20,265691.6488557915,0.2658
21,265003.2714323705,0.2748
22,264296.7207457158,0.2838
23,263735.4637630665,0.2928
24,263293.3957290592,0.3045
25,262917.2490858350,0.3164
26,262718.8171322602,0.3253
27,262393.0177223468,0.3343
28,262143.8836427665,0.3433
29,261943.1877662855,0.3523
30,261768.3984326069,0.3613
31,261584.1680630004,0.3703
32,261444.7588534504,0.3793
33,261303.2536544360,0.3883
34,261154.9077760511,0.3973
35,261027.4344797893,0.4063
36,260917.7006256939,0.4154
37,260819.6601107808,0.4244
38,260723.6180476837,0.4334
39,260600.9134565294,0.4424
40,260488.0777860511,0.4514
41,260384.9300918640,0.4604
42,260290.5571909820,0.4694
43,260204.4208542491,0.4784
44,260127.0487080918,0.4874
45,260058.6497711157,0.4963
46,259993.2462957939,0.5054
47,259933.0039612438,0.5144
48,259878.1670095098,0.5233
49,259828.3668196287,0.5323
50,259783.2238262331,0.5414
51,259742.3834306373,0.5504
52,259705.5136807315,0.5594
53,259672.3019322275,0.5684
54,259634.9321080418,0.5774
55,259592.0579603020,0.5864
56,259550.3337931694,0.5954
57,259509.7207043939,0.6044
58,259470.1612384969,0.6134
59,259431.6003183655,0.6224
60,259393.9850881834,0.6314
61,259357.2648571260,0.6404
62,259321.3908908895,0.6493
63,259286.3163279578,0.6583
64,259251.9960738435,0.6673
65,259218.3867615465,0.6763
66,259185.4465883481,0.6853
67,259153.1353145993,0.6943
68,259121.4141348337,0.7033
69,259090.2455863573,0.7123
70,259059.5935293605,0.7213
71,259029.4230748024,0.7303
72,258999.7004890862,0.7393
73,258970.3932446306,0.7483
74,258941.4698958624,0.7573
75,258912.8999408714,0.7663
76,258884.6540017593,0.7753
77,258856.7035708582,0.7843
78,258829.0211102307,0.7933
79,258801.5800419797,0.8023
80,258774.3544878983,0.8113
81,258747.3195604164,0.8203
82,258720.4511766697,0.8293
83,258693.7260401186,0.8383
84,258667.1215534834,0.8473
85,258640.6159405429,0.8563
86,258614.1882006116,0.8653
87,258587.8180454217,0.8743
88,258561.4858258617,0.8833
89,258535.1727120150,0.8922
90,258508.8604902580,0.9012
91,258482.5316690812,0.9102
