# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2104980.2502044518,0.0129
2,1506370.3247742835,0.0256
3,1393631.4250737629,0.0530
4,1263249.4745011106,0.0638
5,1144304.1347790805,0.0766
6,997550.2345055330,0.0912
7,871084.6647701720,0.1068
8,655909.4478367229,0.1222
9,458398.8216490598,0.1387
10,397108.9933976842,0.1564
11,307201.6763502288,0.1682
12,279436.3010192454,0.1801
13,275526.8140933630,0.1891
14,260615.9447590569,0.1981
15,259206.3916290067,0.2071
16,248025.8875851030,0.2161
17,245867.2369246359,0.2279
18,245594.0802496130,0.2370
19,244372.0938587837,0.2459
20,243819.3481800338,0.2912
21,243381.9986789328,0.3132
