# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776601,0.0118
2,1966368.9832239414,0.0227
3,1587904.4377226538,0.0317
4,1164640.4203256965,0.0416
5,838365.6474496607,0.0553
6,505876.7841965204,0.0745
7,436275.2736078810,0.0891
8,320347.3964402370,0.1010
9,310735.1401008894,0.1140
10,297179.9234860507,0.1268
11,279462.4253427617,0.1359
12,274279.1059736022,0.1549
13,267090.7288993472,0.1639
14,262510.2715387216,0.1730
15,259745.2539308650,0.1819
16,257984.3912321372,0.1909
17,257189.6713633138,0.2162
18,256641.4559994553,0.2271
19,255314.9112665915,0.2361
20,254615.4620751028,0.2451
21,254126.7978445874,0.2541
22,253794.9290487063,0.2631
23,253513.8592986804,0.2750
24,253290.9943762865,0.2920
25,253245.9656504648,0.3054
26,253103.5602873958,0.3145
27,253082.2258641324,0.3280
28,252975.8956518267,0.3370
29,252890.9078179901,0.3460
30,252827.1408731197,0.3550
31,252771.8617175448,0.3640
32,252729.6613264920,0.3729
33,252694.5953312464,0.3819
34,252681.0665848863,0.3928
35,252640.8549301761,0.4018
36,252631.7548106338,0.4127
37,252616.3687276049,0.4235
38,252611.9754829564,0.4370
39,252602.4386991525,0.4479
40,252580.1089390535,0.4569
41,252571.1621592505,0.4678
42,252539.2278686268,0.4768
43,252531.4047485620,0.4877
44,252526.0417001684,0.4985
45,252496.3391677638,0.5075
46,252488.6489002354,0.5210
47,252482.5682051971,0.5319
48,252455.7193921252,0.5409
49,252450.2741772259,0.5517
50,252425.3553937815,0.5607
51,252420.6055890505,0.5716
52,252397.4241532776,0.5806
53,252393.2494038931,0.5914
54,252371.6706245739,0.6004
55,252368.0722485749,0.6113
56,252360.5491950238,0.6203
57,252347.6483279146,0.6292
58,252344.5004455921,0.6401
59,252337.4604780952,0.6491
60,252325.2205373654,0.6581
61,252322.4992447616,0.6690
62,252315.7761668362,0.6780
63,252304.1440565941,0.6869
64,252301.8299037592,0.6978
65,252295.3981826028,0.7068
