# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,8071881.8612453528,0.0121
2,4646590.3567118011,0.0211
3,2872464.2361400109,0.0301
4,1923493.5852235595,0.0390
5,1436868.5800097892,0.0480
6,1123229.4150575818,0.0579
7,930370.9767607983,0.0724
8,706707.9531658103,0.0878
9,449694.9109658033,0.1042
10,402639.4737676381,0.1208
11,315810.4855458193,0.1327
12,281951.4074591071,0.1445
13,275397.4810969207,0.1535
14,262906.0983140855,0.1625
15,259097.2793299895,0.1741
16,257431.7659497705,0.1857
17,254379.1237551045,0.1947
18,253231.3123423345,0.2037
19,252395.9160542912,0.2127
20,251757.5960442167,0.2217
21,251260.7004477640,0.2307
22,250868.1519687955,0.2397
23,250553.1114671636,0.2487
24,250295.4599655072,0.2577
25,248969.3158252256,0.2666
26,248509.8444896781,0.2756
27,248127.2696490815,0.2846
28,247807.3609828551,0.2936
29,247537.6538441372,0.3026
30,247308.1688569300,0.3116
31,247110.9109527949,0.3205
32,246939.4728541762,0.3295
33,246788.7188041664,0.3385
34,246654.5325748238,0.3475
35,246533.6154050898,0.3564
36,246423.3235968737,0.3654
37,245763.9078796166,0.3753
38,245754.3962267243,0.3872
39,245747.1001347071,0.4009
40,245743.7211021174,0.4155
41,245731.9373302514,0.4263
42,245728.7991282798,0.4379
43,245727.8139887914,0.4505
44,245725.0052296147,0.4595
45,245722.2359808134,0.4685
46,245719.4830705339,0.4774
47,245716.7462084687,0.4864
48,245714.0251301188,0.4954
49,245711.3195838922,0.5044
50,245708.6293255491,0.5134
51,245705.9541151736,0.5223
52,245703.2937164938,0.5313
53,245700.6478964388,0.5403
54,245698.0164245834,0.5493
55,245695.3990728512,0.5582
56,245692.7956160076,0.5672
57,245690.2058308116,0.5762
58,245687.6294967026,0.5852
59,245685.0663952114,0.5942
60,245682.5163100226,0.6031
61,245679.9790275549,0.6121
62,245677.4543357969,0.6211
63,245674.9420251877,0.6301
64,245672.4418881694,0.6391
65,245669.9537193926,0.6480
66,245667.4773154652,0.6570
67,245665.0124750151,0.6660
68,245662.5589987013,0.6750
69,245660.1166890519,0.6840
70,245657.6853507657,0.6930
71,245655.2647902592,0.7020
72,245652.8548161082,0.7111
73,245650.4552383427,0.7201
74,245648.0658692624,0.7290
75,245645.6865227284,0.7380
76,245643.3170144993,0.7470
77,245640.9571621058,0.7560
78,245638.6067848009,0.7650
79,245636.2657038897,0.7739
80,245633.9337421229,0.7829
81,245631.6107240352,0.7919
82,245629.2964757546,0.8009
83,245626.9908252184,0.8099
