# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776578,0.0121
2,1506203.5600746702,0.0248
3,1351924.2154890543,0.0393
4,1269019.6929335485,0.0492
5,1210310.7382322981,0.0591
6,1164528.0575152156,0.0690
7,1126771.8745522161,0.0789
8,1094467.1111378728,0.0888
9,1066091.2484156028,0.0987
10,1040673.4854652768,0.1086
11,1017560.9884607184,0.1185
12,995955.5668766791,0.1293
13,976047.2546845662,0.1402
14,957460.4720379178,0.1510
15,939983.3620163219,0.1618
16,923461.2645956525,0.1726
17,907774.5862139759,0.1834
18,892828.1107823078,0.1942
19,878544.4831285916,0.2050
20,864859.8360133684,0.2159
21,851720.7079462238,0.2266
22,839081.8049327674,0.2374
23,826904.3391222489,0.2482
24,815154.7733230712,0.2590
25,803803.8569947822,0.2698
26,792825.8759774778,0.2806
27,782198.0611660675,0.2915
28,771900.1171469238,0.3023
29,761913.8427266962,0.3131
30,752222.8228601074,0.3239
31,742812.1762790438,0.3347
32,733668.3474674538,0.3455
33,724778.9337934668,0.3564
34,716132.5412381133,0.3672
35,707718.6630306476,0.3780
36,699527.5770896159,0.3888
37,691550.2588478450,0.3997
38,683778.3067801325,0.4105
39,676203.8783925808,0.4213
40,668819.6350138928,0.4321
41,661618.6937447526,0.4429
42,654594.5855480377,0.4538
43,647741.2186109761,0.4646
44,641052.8458586660,0.4754
45,634524.0361651605,0.4862
46,628149.6487401684,0.4971
47,621924.8101312557,0.5079
48,615844.8934833787,0.5187
49,609905.4997379044,0.5295
50,604102.4405198231,0.5403
51,598431.7224671330,0.5512
52,592889.5327515256,0.5620
53,587472.2257713157,0.5728
54,582176.3107596833,0.5837
55,576998.4402795604,0.5945
56,571935.3994826792,0.6052
57,566984.0960299140,0.6161
58,562141.5507246390,0.6268
59,557404.8887230030,0.6377
60,552771.3312518592,0.6485
61,548238.1880144575,0.6593
62,543802.8499646611,0.6701
63,539462.7827339798,0.6809
64,535215.5204530322,0.6917
65,531124.8419220782,0.7016
66,527098.4667939874,0.7116
67,523146.7269266491,0.7215
68,519272.5773602366,0.7313
69,515475.9542671660,0.7413
70,511755.8356479304,0.7511
71,508110.7355553267,0.7610
72,504538.9443400989,0.7709
73,501038.6406525907,0.7807
74,497607.9470282389,0.7906
75,494244.9583778690,0.8005
76,490947.7572187649,0.8104
77,487714.4219668117,0.8203
78,484543.0315461002,0.8302
79,481431.6679245381,0.8401
80,478378.4177764467,0.8500
81,475381.3737304250,0.8599
82,472438.6358388743,0.8697
83,469548.3136951879,0.8796
84,466708.5296152201,0.8895
85,463917.4232160282,0.8994
86,461173.1579337006,0.9093
87,458473.9296627323,0.9192
88,455817.9778275726,0.9291
89,453203.5989868658,0.9390
90,450629.1627566320,0.9489
91,448093.1296654158,0.9588
92,445594.0699738942,0.9687
93,443130.6823938785,0.9786
94,440701.8110503725,0.9886
95,438306.4589166551,0.9985
96,435943.7960855418,1.0084
97,433613.1614260549,1.0183
98,431314.0566987297,1.0282
99,429046.1331892463,1.0381
100,426809.1716074384,1.0480
101,424603.0568897126,1.0579
102,422427.7500718986,1.0678
103,420283.2595512943,1.0777
104,418169.6139466083,1.0875
105,416086.8384329776,1.0974
106,414034.9355161730,1.1073
107,412013.8708839876,1.1172
108,410023.5641698309,1.1271
109,408063.8841749985,1.1370
110,406134.6477467626,1.1469
111,404235.6214748695,1.1567
112,402366.5253641974,1.1666
113,400527.0377439171,1.1765
114,398716.8008078558,1.1864
115,396935.4263356198,1.1963
116,395182.5012529392,1.2062
117,393457.5928587505,1.2161
118,391760.2535495276,1.2260
119,390090.0250122252,1.2359
120,388446.4418706103,1.2458
121,386829.0348354125,1.2557
122,385237.3333174483,1.2656
123,383670.8676397716,1.2755
124,382129.1708535625,1.2854
125,380611.7801956726,1.2953
126,379118.2382636415,1.3052
127,377648.0939436308,1.3151
128,376200.9031203778,1.3250
129,374776.2292026478,1.3349
130,373373.6435105175,1.3448
131,371992.7255082508,1.3547
132,370633.0629675565,1.3645
133,369294.2520138481,1.3744
134,367975.8971084926,1.3844
135,366677.6109755034,1.3943
136,365399.0144772138,1.4042
137,364139.7364420180,1.4140
138,362899.4134722627,1.4240
139,361677.6897241431,1.4339
140,360474.2166613617,1.4438
141,359288.6527988414,1.4537
142,358120.6634388022,1.4636
143,356969.9203970099,1.4735
144,355836.1017314176,1.4834
145,354718.8914626063,1.4933
146,353617.9793032763,1.5032
147,352533.0603937922,1.5131
148,351463.8350370433,1.5230
149,350410.0084499938,1.5360
150,349371.2905158430,1.5460
151,348347.3955536963,1.5559
152,347338.0420993335,1.5658
153,346342.9526943146,1.5757
154,345361.8536910458,1.5856
155,344394.4750629564,1.5955
156,343440.5502423482,1.6054
157,342499.8159527396,1.6153
158,341572.0120686736,1.6252
159,340656.8814738640,1.6351
160,339754.1699419956,1.6450
161,338863.6260187651,1.6549
162,337985.0009169651,1.6648
163,337118.0484204328,1.6747
164,336262.5247956239,1.6846
165,335418.1887093242,1.6945
166,334584.8011502442,1.7044
167,333762.1253576638,1.7143
168,332949.9267604348,1.7241
169,332147.9729145730,1.7340
170,331356.0334416921,1.7440
171,330573.8799812170,1.7539
172,329801.2861430045,1.7638
173,329038.0274693021,1.7737
174,328283.8813982712,1.7835
175,327538.6272461764,1.7934
176,326802.0461914492,1.8033
177,326073.9212845315,1.8132
178,325354.0374655602,1.8231
179,324642.1816137460,1.8330
180,323938.1426238005,1.8429
181,323241.7115158555,1.8528
182,322552.6815877875,1.8627
183,321870.8486172143,1.8727
184,321196.0111263970,1.8826
185,320527.9707117049,1.8925
186,319866.5324476686,1.9024
187,319211.5053945582,1.9123
188,318562.7031828880,1.9222
189,317919.9447182572,1.9321
190,317283.0549982609,1.9420
191,316651.8660326648,1.9519
192,316026.2178877279,1.9618
193,315405.9598207889,1.9716
194,314790.9514977154,1.9815
195,314181.0642528019,1.9914
196,313576.1823590807,2.0013
197,312976.2042087777,2.0113
198,312381.0433564316,2.0211
199,311790.6293025717,2.0310
200,311204.9079095787,2.0409
201,310623.8413128644,2.0509
202,310047.4072215316,2.0608
203,309475.5974830455,2.0706
204,308908.4158469633,2.0806
205,308345.8749173672,2.0905
206,307787.9923317563,2.1004
207,307234.7863177609,2.1102
208,306686.2708690379,2.1202
209,306142.4508462012,2.1301
210,305603.3173847824,2.1400
211,305068.8440245158,2.1499
212,304538.9839085118,2.1598
213,304013.6683832689,2.1697
214,303492.8071507734,2.1796
215,302976.2900522568,2.1895
216,302463.9903430184,2.1994
217,301955.7692611520,2.2093
218,301451.4815399632,2.2192
219,300950.9815208520,2.2291
220,300454.1294882891,2.2390
221,299960.7978818234,2.2489
222,299470.8771205074,2.2588
223,298984.2808338944,2.2687
224,298500.9503213135,2.2786
225,298020.8581585632,2.2885
226,297544.0108693473,2.2984
227,297070.4506091708,2.3083
228,296600.2558045834,2.3182
229,296133.5407036621,2.3281
230,295670.4537903612,2.3380
231,295211.1750505756,2.3479
232,294755.9120674004,2.3578
233,294304.8950149457,2.3677
234,293858.3706654200,2.3776
235,293416.5955459755,2.3875
236,292979.8285093478,2.3974
237,292548.3229869455,2.4073
238,292122.3192484588,2.4172
239,291702.0369966100,2.4271
240,291287.6686396608,2.4370
241,290879.3735133957,2.4469
242,290477.2733414431,2.4567
243,290081.4491022652,2.4666
244,289691.9394540814,2.4765
245,289308.7407492783,2.4865
