# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776610,0.0121
2,1506203.5600746702,0.0249
3,1127133.1806397156,0.0395
4,820037.3684094246,0.0531
5,497540.1090292039,0.0695
6,373473.4894418953,0.0868
7,312813.0364476826,0.1131
8,285659.1208859318,0.1294
9,271070.7377165212,0.1415
10,265559.8430851720,0.1545
11,262360.0729379855,0.1673
12,258725.3775682250,0.1790
13,257432.6701849189,0.1906
14,255127.8816715775,0.1997
15,253915.9037059433,0.2087
16,253203.8818505990,0.2177
17,252796.0594128104,0.2267
18,252186.4550451519,0.2357
19,251721.1228916654,0.2447
20,251342.4220034790,0.2537
21,251032.8082677090,0.2627
22,250775.3908542540,0.2717
23,250558.2677904905,0.2807
24,250372.8289115224,0.2897
25,250212.6898470085,0.2987
26,250072.9973822939,0.3078
27,249949.9743234282,0.3167
28,249840.7770491350,0.3257
29,249743.1851617074,0.3347
30,249358.7233847459,0.3437
31,249197.5533978279,0.3528
32,249057.6022175772,0.3618
33,248935.1624438532,0.3708
34,248826.8442243135,0.3798
35,248730.0075297129,0.3888
36,248642.5849431906,0.3978
37,248562.9474369398,0.4068
38,248419.7977602995,0.4168
39,248405.4160607252,0.4294
40,248402.0647958685,0.4422
41,248377.6387909237,0.4512
42,248354.7441249904,0.4602
43,248332.4917566613,0.4692
44,248310.8420175174,0.4782
45,248289.7585946412,0.4872
46,248269.2074275373,0.4962
47,248249.1566381123,0.5052
48,248229.5763508014,0.5142
49,248210.4385092701,0.5232
50,248175.0955407623,0.5332
51,248168.6662491369,0.5458
52,248114.1165396876,0.5645
53,248047.2003864853,0.5745
54,248042.0662363997,0.5845
55,247991.0056179228,0.5935
56,247969.1902124153,0.6024
57,247894.6503625736,0.6124
58,247876.9130947419,0.6223
59,247868.0907878835,0.6313
60,247813.2435414878,0.6403
61,247791.3327187513,0.6493
62,247693.9615042355,0.6593
63,247690.2341198590,0.6709
64,247686.4951826714,0.6838
65,247682.7092351406,0.6955
66,247678.8692867926,0.7072
67,247674.9701263127,0.7189
68,247671.0077460640,0.7305
69,247666.9775560578,0.7422
70,247662.8742018557,0.7538
71,247658.6935380109,0.7655
72,247654.4302684033,0.7772
73,247650.0795081757,0.7890
74,247645.6374536144,0.8006
75,247641.0998495183,0.8122
76,247636.4634518391,0.8239
77,247631.7244188555,0.8356
78,247626.8797034253,0.8473
79,247621.9258782970,0.8590
80,247616.8608509369,0.8706
81,247611.6822020501,0.8823
82,247606.3876213317,0.8939
83,247600.9753093313,0.9055
84,247595.4446379010,0.9172
85,247589.7950309954,0.9288
86,247584.0257605814,0.9405
87,247578.1365984415,0.9522
88,247572.1278538991,0.9639
89,247565.9991086970,0.9756
90,247559.7521258850,0.9873
91,247553.3873596056,0.9989
92,247546.9068096900,1.0106
93,247540.3122074024,1.0222
94,247533.6060005669,1.0339
95,247526.7901904440,1.0456
96,247519.8671731221,1.0572
97,247512.8393974194,1.0689
98,247436.2252133158,1.0832
99,247270.9883327371,1.0932
100,247190.4111107080,1.1031
101,247025.1525233119,1.1130
102,247023.4220252935,1.1251
103,246928.5347650750,1.1341
104,246680.7853385673,1.1478
105,246679.8264777645,1.1599
106,246634.6891864409,1.1689
107,246517.4191794227,1.1825
108,246516.9308104312,1.1946
109,246488.3212030064,1.2036
110,246436.5530621501,1.2182
111,246435.9870599931,1.2303
112,246414.1838069425,1.2393
113,246385.4638094453,1.2697
114,246381.1472257043,1.2814
115,246380.7280403028,1.2933
116,246360.2074871289,1.3023
117,246359.4415553780,1.3140
118,246359.1825183419,1.3259
119,246358.9285485888,1.3378
120,246358.6792326320,1.3496
121,246358.4317857063,1.3615
122,246358.1809225482,1.3733
123,246357.9282729912,1.3852
124,246357.6589799895,1.3971
125,246354.6835874248,1.4114
126,246353.9346013435,1.4204
127,246353.1104306584,1.4294
128,246352.2292211148,1.4384
129,246351.2900888373,1.4474
130,246350.2626454749,1.4564
131,246349.0881110655,1.4653
132,246347.4762246459,1.4743
133,246342.5405657302,1.4833
134,246240.0897914666,1.4923
135,246104.9868971547,1.5086
136,246061.6749278912,1.5186
137,245734.2123920905,1.5294
138,245261.7250162165,1.5393
139,245078.8924691787,1.5493
140,245067.6627087237,1.5583
141,244967.0921679767,1.5696
142,244961.0682083993,1.6009
143,244959.5772078471,1.6100
144,244959.0574956887,1.6190
145,244958.8118019468,1.6280
146,244956.6761424910,1.6370
147,244955.4753842245,1.6489
148,244955.4201217670,1.6579
149,244954.8735656723,1.6669
150,244954.3774721569,1.6833
151,244954.3273098907,1.6924
152,244953.9527509744,1.7014
153,244953.6994032050,1.7188
154,244953.6598367464,1.7278
155,244953.3250965383,1.7368
156,244953.1574561563,1.7551
157,244953.1263255108,1.7641
158,244952.8082913984,1.7732
