# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776531,0.0121
2,1506203.5600746709,0.0248
3,1351924.2154890553,0.0394
4,1269019.6929335503,0.0494
5,1034756.2899251760,0.0612
6,769122.2100782623,0.0757
7,468167.0974278954,0.0959
8,359368.9425196501,0.1123
9,312788.8472163779,0.1240
10,294043.9167202134,0.1425
11,291531.6076695694,0.1563
12,278358.5556151827,0.1680
13,269952.5421273648,0.1850
14,267523.5899233139,0.1978
15,264562.3497513174,0.2095
16,262583.6409522669,0.2211
17,261114.4053143734,0.2330
18,259972.5327463184,0.2460
19,259237.8958126945,0.2588
20,258786.3445804024,0.2751
21,258189.3285173984,0.2850
22,257928.0227174156,0.2950
23,257361.9063138461,0.3040
24,256887.1613731805,0.3130
25,256480.9314400838,0.3220
26,256340.3131581003,0.3319
27,255959.1033285092,0.3409
28,255625.3306708921,0.3499
29,255329.8485046334,0.3589
30,255245.4825616160,0.3688
31,254847.2821589674,0.3778
32,254607.7804569052,0.3868
33,254549.2451831593,0.3968
34,254204.6283842424,0.4058
35,254005.5565250700,0.4157
36,253755.2576716249,0.4310
37,253566.4610174496,0.4409
38,253178.1772663451,0.4571
39,253019.7424442926,0.4671
40,252986.6220652983,0.4797
41,252947.2908871088,0.4986
42,252937.5515257435,0.5085
43,252885.1350993772,0.5175
44,252847.2290177297,0.5266
45,252810.5880585937,0.5356
46,252770.0631775080,0.5455
47,252763.2462806609,0.5555
48,252708.2444594376,0.5645
49,252676.1026647817,0.5735
50,252640.9219131188,0.5825
51,252596.1942636073,0.5924
52,252547.0330367312,0.6077
53,252502.1142280810,0.6176
54,252371.6260936559,0.6339
55,252328.6401863513,0.6438
56,252285.5718200156,0.6591
57,252241.6260186601,0.6690
58,252102.7068393893,0.6853
59,252060.5076465911,0.6952
60,252051.2210917535,0.7078
61,252048.6028472027,0.7204
62,252038.5721658495,0.7303
63,252034.5135599401,0.7403
64,252030.7552875464,0.7503
65,252027.3105777602,0.7602
66,252015.2986291055,0.7692
67,252005.9592392670,0.7782
68,252002.7681176102,0.7881
69,251990.5508712461,0.7972
70,251981.3454240022,0.8061
71,251978.3527504473,0.8161
72,251965.9195032249,0.8251
73,251956.8350815311,0.8341
74,251954.0096038241,0.8441
75,251941.3508437156,0.8531
76,251932.3752528882,0.8621
77,251929.6848216196,0.8721
78,251916.7923091077,0.8810
79,251907.9140820408,0.8900
80,251905.3257095780,0.9000
81,251892.1925718256,0.9090
82,251883.4009881405,0.9180
83,251880.8810498193,0.9280
84,251867.5018717459,0.9370
85,251858.7869790679,0.9460
86,251856.3002816801,0.9559
87,251842.6712143214,0.9649
88,251834.0238620139,0.9739
89,251831.5344190302,0.9839
90,251817.6532611530,0.9929
91,251809.0651258853,1.0019
92,251806.5347863252,1.0119
93,251792.4010730680,1.0209
94,251783.8646961627,1.0299
95,251781.2536348741,1.0399
96,251766.8687309578,1.0489
97,251758.3775465581,1.0579
98,251755.6439886212,1.0678
99,251741.0111458336,1.0768
100,251732.5595147191,1.0858
101,251729.6582158207,1.0958
102,251714.7826569283,1.1048
103,251706.3658983186,1.1138
104,251703.2513590442,1.1237
105,251688.1403050378,1.1328
106,251679.7547058034,1.1418
107,251676.3763332205,1.1517
108,251674.5034578713,1.1607
109,251658.6680478783,1.1697
110,251650.1226756000,1.1788
111,251646.2698102971,1.1888
112,251644.6369981035,1.1978
113,251628.0745097778,1.2068
114,251619.3574666666,1.2158
115,251614.8766354448,1.2257
116,251613.4492273924,1.2348
117,251596.1656382984,1.2438
118,251587.2696903709,1.2528
119,251581.9837897872,1.2627
120,251580.7289796757,1.2717
121,251562.7412988479,1.2808
122,251553.6643469657,1.2898
123,251547.3719555238,1.2998
124,251546.2591087808,1.3088
125,251527.5962856314,1.3178
126,251518.3417675894,1.3268
127,251510.8069839560,1.3367
128,251492.1637395829,1.3510
129,251438.6159874224,1.3610
130,251430.5536672580,1.3709
131,251412.4252969696,1.3853
132,251351.7843555232,1.3952
133,251343.1509574173,1.4052
134,251325.6462910021,1.4195
135,251256.0028173077,1.4294
136,251246.7481622453,1.4394
137,251244.5478644192,1.4511
138,251243.5438843330,1.4619
139,251241.1462104945,1.4710
140,251240.1802947086,1.4800
141,251239.2151747340,1.4890
142,251238.2520572628,1.4980
143,251237.2904735469,1.5070
144,251236.3299527153,1.5160
145,251235.3700265298,1.5279
146,251234.4102234873,1.5370
147,251233.4500749174,1.5460
148,251232.4891096678,1.5550
149,251231.5268567872,1.5640
150,251230.5628446147,1.5730
151,251229.5966032006,1.5820
152,251228.6276598125,1.5910
