arm,rep,lambda,tau,raw_norm,radius,cost,decrease,prediction,rho,iterations,residual,certified,root_updates,fallback,guard_ratio,guard_pass,seconds
eta2_saved,0,9.7037479471935431,9.7037479471935431,0,6.6020868634661725e-05,1951880.1008063303,0.026323252590373158,0.098439924047453262,0.26740423507116845,0,0,0,0,0,0,1,0
reference_raw,0,9.7037479471935431,9.7037479471935431,41.74596680794339,6.6020868634661725e-05,2485806.7430585516,-533926.61592896865,19172.427079166984,-27.848671100652691,6,3.2687192692452425e-12,1,0,0,0,1,0.098899332000000006
reference_clip,0,9.7037479471935431,9.7037479471935431,41.74596680794339,6.6020868634661725e-05,1951880.1007567931,0.026372789870947599,0.098448895165636874,0.26788304557990505,6,3.2687192692452425e-12,1,0,0,0,1,0.106687067
lambda_coupled,0,8181096.8378870487,8181096.8378870487,6.3183490510807205e-05,6.6020868634661725e-05,1951880.0967095608,0.030420022085309029,0.032660279668304967,0.93140727496066156,7,8.3570125913189612e-15,1,1,0,0,1,0.108085099
lambda_frozen_tau,0,8181096.8378870487,9.7037479471935431,6.3183447944288373e-05,6.6020868634661725e-05,1951880.0985375338,0.028592049144208431,0.09725766977678256,0.29398246133009814,8,1.2022795001008081e-16,1,1,0,0,1,0.11255391100000001
geodesic_guarded,0,9.7037479471935431,9.7037479471935431,8.9449619017810525e-05,6.6020868634661725e-05,1951880.0922396875,0.034889895468950272,0.081009110821061617,0.43069100642293712,5,2.2634011701112215e-11,1,0,0,0.00062150876455979221,1,0.087479575000000004
reference_raw,1,9.7037479471935431,9.7037479471935431,41.74596680794339,6.6020868634661725e-05,2485806.743058552,-533926.61592896911,19172.427079166984,-27.848671100652712,6,3.2687192692452425e-12,1,0,0,0,1,0.097888972000000005
reference_clip,1,9.7037479471935431,9.7037479471935431,41.74596680794339,6.6020868634661725e-05,1951880.1007567931,0.026372789870947599,0.098448895165636832,0.26788304557990517,6,3.2687192692452425e-12,1,0,0,0,1,0.10568092599999999
lambda_coupled,1,8181096.8378870487,8181096.8378870487,6.3183490510807205e-05,6.6020868634661725e-05,1951880.0967095608,0.030420022085309029,0.032660279668304967,0.93140727496066156,7,8.3570125913189612e-15,1,1,0,0,1,0.108377548
lambda_frozen_tau,1,8181096.8378870487,9.7037479471935431,6.3183447944288373e-05,6.6020868634661725e-05,1951880.098537534,0.028592048911377788,0.09725766977678256,0.2939824589361415,8,1.2022795001008081e-16,1,1,0,0,1,0.112692261
geodesic_guarded,1,9.7037479471935431,9.7037479471935431,8.9449619017810525e-05,6.6020868634661725e-05,1951880.0922396875,0.034889895468950272,0.081009110821061617,0.43069100642293712,5,2.2634011701112215e-11,1,0,0,0.00062150876455979221,1,0.087037404999999998
reference_raw,2,9.7037479471935431,9.7037479471935431,41.74596680794339,6.6020868634661725e-05,2485806.743058552,-533926.61592896911,19172.427079166988,-27.848671100652709,6,3.2687192692452425e-12,1,0,0,0,1,0.095392879999999999
reference_clip,2,9.7037479471935431,9.7037479471935431,41.74596680794339,6.6020868634661725e-05,1951880.1007567928,0.026372790103778243,0.09844889516563686,0.26788304794489504,6,3.2687192692452425e-12,1,0,0,0,1,0.10318448500000001
lambda_coupled,2,8181096.8378870487,8181096.8378870487,6.3183490510807205e-05,6.6020868634661725e-05,1951880.0967095606,0.030420022318139672,0.032660279668304967,0.93140728208952406,7,8.3570125913189612e-15,1,1,0,0,1,0.108101379
lambda_frozen_tau,2,8181096.8378870487,9.7037479471935431,6.3183447944288373e-05,6.6020868634661725e-05,1951880.0985375338,0.028592049144208431,0.097257669776782546,0.29398246133009814,8,1.2022795001008081e-16,1,1,0,0,1,0.112640081
geodesic_guarded,2,9.7037479471935431,9.7037479471935431,8.9449619017810525e-05,6.6020868634661725e-05,1951880.0922396875,0.034889895468950272,0.081009110821061617,0.43069100642293712,5,2.2634011701112215e-11,1,0,0,0.00062150876455979221,1,0.093134939
