arm,rep,lambda,tau,raw_norm,radius,cost,decrease,prediction,rho,iterations,residual,certified,root_updates,fallback,guard_ratio,guard_pass,seconds
eta2_saved,0,8.9235248552104293e-07,8.9235248552104293e-07,0,6450.7051792593411,246358.47756448467,0.54701781427138485,0.69530281535142247,0.78673320773900379,0,0,0,0,0,0,1,0
reference_raw,0,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119079,0.96935009990700283,243,9.0341164950803513e-11,1,0,0,0,1,0.54555182599999996
reference_clip,0,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543275,35.50997686618939,36.632767531119107,0.96935009990779653,243,9.0341164950803513e-11,1,0,0,0,1,0.54707663699999998
lambda_coupled,0,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119107,0.96935009990700205,243,9.0341164950803513e-11,1,0,0,0,1,0.52751583400000002
lambda_frozen_tau,0,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119129,0.96935009990700149,243,9.0341164950803513e-11,1,0,0,0,1,0.53010680499999996
geodesic_guarded,0,8.9235248552104293e-07,8.9235248552104293e-07,1165.4438484086731,6450.7051792593411,246322.62285259512,36.401729703822639,35.69668161542392,1.0197510820752056,130,7.1841358163035492e-11,1,0,0,0.01313348210879841,1,0.29008007400000002
reference_raw,1,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119114,0.96935009990700183,243,9.0341164950803513e-11,1,0,0,0,1,0.53532275900000004
reference_clip,1,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.6327675311191,0.96935009990700216,243,9.0341164950803513e-11,1,0,0,0,1,0.53684894000000005
lambda_coupled,1,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119093,0.96935009990700238,243,9.0341164950803513e-11,1,0,0,0,1,0.52768193500000005
lambda_frozen_tau,1,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543281,35.509976866131183,36.632767531119136,0.9693500999062068,243,9.0341164950803513e-11,1,0,0,0,1,0.528403705
geodesic_guarded,1,8.9235248552104293e-07,8.9235248552104293e-07,1165.4438484086731,6450.7051792593411,246322.62285259509,36.401729703851743,35.696681615423905,1.0197510820760212,130,7.1841358163035492e-11,1,0,0,0.01313348210879841,1,0.28997911300000001
reference_raw,2,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543278,35.509976866160287,36.632767531119086,0.9693500999070026,243,9.0341164950803513e-11,1,0,0,0,1,0.53285716800000005
reference_clip,2,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543275,35.50997686618939,36.632767531119114,0.9693500999077963,243,9.0341164950803513e-11,1,0,0,0,1,0.53438793900000003
lambda_coupled,2,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543275,35.50997686618939,36.632767531119136,0.96935009990779575,243,9.0341164950803513e-11,1,0,0,0,1,0.527745574
lambda_frozen_tau,2,8.9235248552104293e-07,8.9235248552104293e-07,1164.9592564532136,6450.7051792593411,246323.51460543281,35.509976866131183,36.632767531119093,0.96935009990620791,243,9.0341164950803513e-11,1,0,0,0,1,0.52820448399999997
geodesic_guarded,2,8.9235248552104293e-07,8.9235248552104293e-07,1165.4438484086731,6450.7051792593411,246322.62285259512,36.401729703822639,35.696681615423913,1.0197510820752058,130,7.1841358163035492e-11,1,0,0,0.01313348210879841,1,0.290282074
