stage,cell,scene,arm,rep,target,score_init,cost,hit,target_seconds,native_seconds,outers,accepts,rejects,pcg_per_outer,retry_fraction_native,max_raw_radius_ratio,negcurv,cap_hit,source
compatibility,dubrovnik-88,dubrovnik-88,original,0,0,30562787.847235747,358945.73765611247,False,,0.523318,33,33,2,,,,0,False,evidence/compatibility/dubrovnik-88-original-0
compatibility,dubrovnik-88,dubrovnik-88,off,0,0,30562787.84723574,358935.7997652352,False,,0.415502,31,31,4,2.967741935483871,0.05011700064018946,54057.41708360236,0,False,evidence/compatibility/dubrovnik-88-off-0
compatibility,dubrovnik-88,dubrovnik-88,off,1,0,30562787.847235736,358945.97693074815,False,,0.42263,33,33,3,2.8181818181818183,0.036851383006412226,26988.569138586812,0,False,evidence/compatibility/dubrovnik-88-off-1
compatibility,dubrovnik-88,dubrovnik-88,original,1,0,30562787.847235743,358944.88092362095,False,,0.413931,33,33,1,,,,0,False,evidence/compatibility/dubrovnik-88-original-1
compatibility,dubrovnik-88,dubrovnik-88,original,2,0,30562787.84723573,358945.4572744629,False,,0.417644,33,33,2,,,,0,False,evidence/compatibility/dubrovnik-88-original-2
compatibility,dubrovnik-88,dubrovnik-88,off,2,0,30562787.847235747,358945.92839473113,False,,0.419356,33,33,2,2.787878787878788,0.024927572277492156,26800.01092159808,0,False,evidence/compatibility/dubrovnik-88-off-2
venice,venice-52,venice-52,off,0,243740.27,11152062.772762474,246317.03587258363,False,,2.238815,166,166,10,3.963855421686747,0.029283599582815015,74.36029013658349,1,False,evidence/venice/venice-52-off-0
venice,venice-52,venice-52,lambda1,0,243740.27,11152062.772762472,245103.9755109697,False,,1.13051,103,103,3,1.970873786407767,0.02741510380270851,267421.48796579696,1,False,evidence/venice/venice-52-lambda1-0
venice,venice-52,venice-52,lambda10,0,243740.27,11152062.77276247,245626.99082521824,False,,0.827717,83,83,0,1.4337349397590362,0.0,358.9041846670019,0,False,evidence/venice/venice-52-lambda10-0
venice,venice-52,venice-52,lambda100,0,243740.27,11152062.772762468,243557.3815197048,True,0.6361,0.654754,54,54,3,2.5925925925925926,0.03273874615504449,121.50157004640394,1,False,evidence/venice/venice-52-lambda100-0
