arm,rep,lambda,tau,raw_norm,radius,cost,decrease,prediction,rho,iterations,residual,certified,root_updates,fallback,guard_ratio,guard_pass,seconds
eta2_saved,0,11.159928306476408,11.159928306476408,0,0.067605369481893607,1866070.1685665112,15.267472998006269,57.303130558990532,0.26643348887002283,0,0,0,0,0,0,1,0
reference_raw,0,11.159928306476408,11.159928306476408,33.70965198669164,0.067605369481893607,2071394.9841196269,-205309.54808011767,14001.918621364988,-14.66295824393978,5,7.6722704395695887e-11,1,0,0,0,1,0.092965032000000003
reference_clip,0,11.159928306476408,11.159928306476408,33.70965198669164,0.067605369481893607,1866070.1581243088,15.277915200451389,57.306023006770282,0.26660225921883318,5,7.6722704395695887e-11,1,0,0,0,1,0.100778037
lambda_coupled,0,7419.4757465924586,7419.4757465924586,0.061191592789141672,0.067605369481893607,1866062.5038590867,22.932180422591045,27.828240454503803,0.82406145872149938,7,1.3802627585408096e-15,1,1,0,0,1,0.10825855199999999
lambda_frozen_tau,0,7419.4757465924586,11.159928306476408,0.061159052088274247,0.067605369481893607,1866069.1936023019,16.242437207372859,54.442198770255082,0.29834278508690654,8,6.9715468268582218e-15,1,1,0,0,1,0.11278424500000001
geodesic_guarded,0,11.159928306476408,11.159928306476408,0.081230114445422441,0.067605369481893607,1866066.8539291311,18.582110378192738,52.811909841491776,0.35185454254475129,5,8.3525380651597701e-12,1,0,0,0.018488082846339956,1,0.085711487000000003
reference_raw,1,11.159928306476408,11.159928306476408,33.70965198669164,0.067605369481893607,2071394.9841196269,-205309.54808011767,14001.918621364988,-14.66295824393978,5,7.6722704395695887e-11,1,0,0,0,1,0.086618107
reference_clip,1,11.159928306476408,11.159928306476408,33.70965198669164,0.067605369481893607,1866070.1581243083,15.27791520091705,57.306023006770282,0.26660225922695907,5,7.6722704395695887e-11,1,0,0,0,1,0.094449843000000006
lambda_coupled,1,7419.4757465924586,7419.4757465924586,0.061191592789141672,0.067605369481893607,1866062.5038590867,22.932180422591045,27.828240454503799,0.8240614587214995,7,1.3802627585408096e-15,1,1,0,0,1,0.112643645
lambda_frozen_tau,1,7419.4757465924586,11.159928306476408,0.061159052088274247,0.067605369481893607,1866069.1936023016,16.24243720760569,54.442198770255082,0.29834278509118317,8,6.9715468268582218e-15,1,1,0,0,1,0.112807026
geodesic_guarded,1,11.159928306476408,11.159928306476408,0.081230114445422441,0.067605369481893607,1866066.8539291311,18.582110378192738,52.811909841491776,0.35185454254475129,5,8.3525380651597701e-12,1,0,0,0.018488082846339956,1,0.085597446999999993
reference_raw,2,11.159928306476408,11.159928306476408,33.70965198669164,0.067605369481893607,2071394.9841196272,-205309.54808011791,14001.918621364988,-14.662958243939796,5,7.6722704395695887e-11,1,0,0,0,1,0.086702716999999999
reference_clip,2,11.159928306476408,11.159928306476408,33.70965198669164,0.067605369481893607,1866070.1581243086,15.27791520068422,57.306023006770282,0.2666022592228961,5,7.6722704395695887e-11,1,0,0,0,1,0.094520503000000006
lambda_coupled,2,7419.4757465924586,7419.4757465924586,0.061191592789141672,0.067605369481893607,1866062.5038590867,22.932180422591045,27.828240454503799,0.8240614587214995,7,1.3802627585408096e-15,1,1,0,0,1,0.108487952
lambda_frozen_tau,2,7419.4757465924586,11.159928306476408,0.061159052088274247,0.067605369481893607,1866069.1936023014,16.24243720783852,54.442198770255089,0.29834278509545981,8,6.9715468268582218e-15,1,1,0,0,1,0.113171775
geodesic_guarded,2,11.159928306476408,11.159928306476408,0.081230114445422441,0.067605369481893607,1866066.8539291313,18.582110377959907,52.811909841491783,0.3518545425403426,5,8.3525380651597701e-12,1,0,0,0.018488082846339956,1,0.085613847000000007
