arm,rep,lambda,tau,raw_norm,radius,cost,decrease,prediction,rho,iterations,residual,certified,root_updates,fallback,guard_ratio,guard_pass,seconds
eta2_saved,0,0.025000000000000001,0.025000000000000001,0,5834.2274119694293,2054200.9555375944,6115573.8532160074,7658461.7553554773,0.79853814624581165,0,0,0,0,0,0,1,0
reference_raw,0,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969961,6166994.304256605,7662720.7107347734,0.8048047863231147,79,9.5559653677182644e-11,1,0,0,0,1,0.25332028899999998
reference_clip,0,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969961,6166994.304256605,7662720.7107347734,0.8048047863231147,79,9.5559653677182644e-11,1,0,0,0,1,0.25601833000000002
lambda_coupled,0,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969963,6166994.304256605,7662720.7107347744,0.80480478632311458,79,9.5559653677182644e-11,1,0,0,0,1,0.22967400399999999
lambda_frozen_tau,0,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969961,6166994.304256605,7662720.7107347762,0.80480478632311436,79,9.5559653677182644e-11,1,0,0,0,1,0.22954892299999999
reference_raw,1,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969961,6166994.304256605,7662720.7107347734,0.8048047863231147,79,9.5559653677182644e-11,1,0,0,0,1,0.23785794800000001
reference_clip,1,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969961,6166994.304256605,7662720.7107347753,0.80480478632311447,79,9.5559653677182644e-11,1,0,0,0,1,0.24053684
lambda_coupled,1,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969961,6166994.304256605,7662720.7107347744,0.80480478632311458,79,9.5559653677182644e-11,1,0,0,0,1,0.22970105299999999
lambda_frozen_tau,1,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969958,6166994.304256605,7662720.7107347734,0.8048047863231147,79,9.5559653677182644e-11,1,0,0,0,1,0.23159005399999999
reference_raw,2,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969961,6166994.304256605,7662720.7107347734,0.8048047863231147,79,9.5559653677182644e-11,1,0,0,0,1,0.237836569
reference_clip,2,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969961,6166994.304256605,7662720.7107347744,0.80480478632311458,79,9.5559653677182644e-11,1,0,0,0,1,0.240531721
lambda_coupled,2,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969963,6166994.304256605,7662720.7107347725,0.80480478632311481,79,9.5559653677182644e-11,1,0,0,0,1,0.22965946300000001
lambda_frozen_tau,2,0.025000000000000001,0.025000000000000001,2495.4099271656182,5834.2274119694293,2002780.5044969961,6166994.304256605,7662720.7107347734,0.8048047863231147,79,9.5559653677182644e-11,1,0,0,0,1,0.22965090299999999
