arm,rep,lambda,tau,raw_norm,radius,cost,decrease,prediction,rho,iterations,residual,certified,root_updates,fallback,guard_ratio,guard_pass,seconds
eta2_saved,0,0.10000000000000001,0.10000000000000001,0,245.38404495694635,2492408.9048091886,-2127892.7109050909,355912.55825184693,-5.978695220412467,0,0,0,0,0,0,1,0
reference_raw,0,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,744279.12739154953,-379762.93348745164,358215.67294140393,-1.0601516409628797,18,3.3128087385347504e-11,1,0,0,0,1,0.0055201130000000001
reference_clip,0,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,3.3128087385347504e-11,1,0,0,0,1,0.0056504229999999999
lambda_coupled,0,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,3.3128087385347504e-11,1,0,0,0,1,0.002452732
lambda_frozen_tau,0,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,3.3128087385347504e-11,1,0,0,0,1,0.0024557910000000001
geodesic_guarded,0,0.10000000000000001,0.10000000000000001,245.38404495694627,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,1.8463872913862164e-11,1,0,0,0.85301576778490185,0,0.0026934620000000002
reference_raw,1,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,744279.12739154953,-379762.93348745164,358215.67294140393,-1.0601516409628797,18,3.3128087385347504e-11,1,0,0,0,1,0.0024837219999999998
reference_clip,1,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,3.3128087385347504e-11,1,0,0,0,1,0.0025813619999999998
lambda_coupled,1,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,3.3128087385347504e-11,1,0,0,0,1,0.0024403519999999998
lambda_frozen_tau,1,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,3.3128087385347504e-11,1,0,0,0,1,0.0024411120000000001
geodesic_guarded,1,0.10000000000000001,0.10000000000000001,245.38404495694627,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,1.8463872913862164e-11,1,0,0,0.85301576778490185,0,0.002644731
reference_raw,2,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,744279.12739154953,-379762.93348745164,358215.67294140393,-1.0601516409628797,18,3.3128087385347504e-11,1,0,0,0,1,0.0025007319999999999
reference_clip,2,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,3.3128087385347504e-11,1,0,0,0,1,0.0025977119999999999
lambda_coupled,2,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,3.3128087385347504e-11,1,0,0,0,1,0.002433382
lambda_frozen_tau,2,0.10000000000000001,0.10000000000000001,408.20592923396379,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,3.3128087385347504e-11,1,0,0,0,1,0.0024518209999999999
geodesic_guarded,2,0.10000000000000001,0.10000000000000001,245.38404495694627,245.38404495694635,1347872.6363437013,-983356.44243960339,354979.94293202984,-2.770174659214176,18,1.8463872913862164e-11,1,0,0,0.85301576778490185,0,0.0026637219999999999
