arm,rep,lambda,tau,raw_norm,radius,cost,decrease,prediction,rho,iterations,residual,certified,root_updates,fallback,guard_ratio,guard_pass,seconds
eta2_saved,0,4.4583873478269332e-08,4.4583873478269332e-08,0,403.16907370370859,244946.81203851558,0.027014410676201805,0.070540705822875693,0.38296201265739654,0,0,0,0,0,0,1,0
reference_raw,0,4.4583873478269332e-08,4.4583873478269332e-08,2738.6422474582168,403.16907370370859,244966.88483514535,-20.04578221909469,0.44442282724638416,-45.10520385124476,686,9.2696717294218837e-11,1,0,0,0,1,1.489735118
reference_clip,0,4.4583873478269332e-08,4.4583873478269332e-08,2738.6422474582168,403.16907370370859,244946.80419075681,0.03486216944293119,0.081465203762948343,0.42793938801620052,686,9.2696717294218837e-11,1,0,0,0,1,1.491256889
lambda_coupled,0,4.0379843073860307e-07,4.0379843073860307e-07,331.00137574630867,403.16907370370859,244946.72152928714,0.11752363911364228,0.11978367590522442,0.98113234733779309,1293,7.4056238831673225e-11,1,1,0,0,1,2.8010314410000001
lambda_frozen_tau,0,4.0379843073860307e-07,4.4583873478269332e-08,331.06763621953678,403.16907370370859,244946.71678522724,0.12226769901462831,0.12501437428523945,0.97802912436017808,1319,5.0441143018620297e-11,1,1,0,0,1,2.8521652039999998
reference_raw,1,4.4583873478269332e-08,4.4583873478269332e-08,2738.6422474582168,403.16907370370859,244966.88483514532,-20.045782219065586,0.44442282724638205,-45.105203851179482,686,9.2696717294218837e-11,1,0,0,0,1,1.490310209
reference_clip,1,4.4583873478269332e-08,4.4583873478269332e-08,2738.6422474582168,403.16907370370859,244946.80419075678,0.034862169472035021,0.081465203762948094,0.42793938837345658,686,9.2696717294218837e-11,1,0,0,0,1,1.4918423999999999
lambda_coupled,1,4.0379843073860307e-07,4.0379843073860307e-07,331.00137574630867,403.16907370370859,244946.72152928711,0.11752363914274611,0.11978367590522396,0.98113234758076673,1293,7.4056238831673225e-11,1,1,0,0,1,2.7966270780000002
lambda_frozen_tau,1,4.0379843073860307e-07,4.4583873478269332e-08,331.06763621953678,403.16907370370859,244946.71678522724,0.12226769901462831,0.12501437428523993,0.97802912436017442,1319,5.0441143018620297e-11,1,1,0,0,1,2.8583344149999999
reference_raw,2,4.4583873478269332e-08,4.4583873478269332e-08,2738.6422474582168,403.16907370370859,244966.88483514535,-20.04578221909469,0.44442282724638227,-45.105203851244951,686,9.2696717294218837e-11,1,0,0,0,1,1.492053235
reference_clip,2,4.4583873478269332e-08,4.4583873478269332e-08,2738.6422474582168,403.16907370370859,244946.80419075681,0.03486216944293119,0.081465203762948163,0.42793938801620146,686,9.2696717294218837e-11,1,0,0,0,1,1.4935759049999999
lambda_coupled,2,4.0379843073860307e-07,4.0379843073860307e-07,331.00137574630867,403.16907370370859,244946.72152928711,0.11752363914274611,0.11978367590522451,0.98113234758076218,1293,7.4056238831673225e-11,1,1,0,0,1,2.80569917
lambda_frozen_tau,2,4.0379843073860307e-07,4.4583873478269332e-08,331.06763621953678,403.16907370370859,244946.71678522727,0.12226769898552448,0.12501437428524081,0.97802912412736354,1319,5.0441143018620297e-11,1,1,0,0,1,2.8587413750000001
