# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322548,0.0428
2,3723398.1420859904,0.0929
3,2649101.3772308594,0.1573
4,2222822.2596020489,0.1952
5,2043410.2504483629,0.2484
6,2002349.1110786900,0.3196
7,1973572.1045901866,0.3841
8,1973263.3619129274,0.4381
9,1950433.3837842313,0.5290
10,1940044.8832394858,0.5848
11,1929584.6197115821,0.6407
12,1927619.2630633181,0.7054
13,1927396.9323585189,0.7976
14,1917131.4394245928,0.8641
15,1906201.7790089333,0.9305
16,1903294.4809083100,1.0226
17,1902621.8258900444,1.0766
18,1901493.6660527741,1.1726
19,1899400.4699933897,1.2343
20,1897364.5381939884,1.2960
21,1895760.5482368155,1.3490
22,1895140.2398426377,1.4848
23,1894667.9843255533,1.5407
24,1893784.6171152215,1.6043
25,1892819.8830640567,1.6669
26,1892098.3150192189,1.7210
27,1891646.3315199963,1.8568
28,1891038.3380184940,1.9214
29,1890111.4719034757,1.9879
30,1888697.3635268749,2.0534
31,1887030.2840394238,2.1190
32,1885996.5938741565,2.1721
33,1885799.1490436089,2.2281
34,1885798.5070397498,2.5474
35,1885793.4175037341,2.5985
36,1885778.4723351363,2.6690
37,1885760.2805388335,2.7052
38,1885749.5204369330,2.7414
39,1885725.4937115919,2.7776
40,1885724.0494396149,2.8680
41,1885723.7661986493,2.9172
42,1885722.8644377859,2.9535
43,1885721.3012557968,2.9896
44,1885721.0788715493,3.0407
45,1885720.7798526648,3.0908
46,1885719.7356985307,3.1283
47,1885718.6488867274,3.1645
48,1885716.4303650069,3.2007
49,1885713.6495986108,3.2368
50,1885711.1786070932,3.2731
51,1885708.0758479964,3.3093
52,1885707.5952583738,3.3455
53,1885706.5160058576,3.3818
54,1885704.3316122668,3.4180
55,1885701.6211021354,3.4541
