# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,6547059.3075566292,0.0465
2,3691861.7611756921,0.1128
3,2867498.7241487829,0.1606
4,2234925.1221903232,0.1996
5,2059716.7881722655,0.2487
6,1971947.1051153787,0.3003
7,1953519.2961963105,0.3664
8,1953494.1046727968,0.6460
9,1951331.6302888226,0.6827
10,1950366.7318501840,0.7222
11,1949399.9806001706,0.7600
12,1947367.7873799903,0.7967
13,1946840.2918001995,0.8334
14,1946560.7391696253,0.8831
15,1945666.8656659555,0.9327
16,1944288.9548351681,0.9842
17,1943524.5035950877,1.0377
18,1941932.0378175252,1.0903
19,1941913.8408229116,1.1457
20,1941848.4307693238,1.2751
21,1941613.0140201389,1.3257
22,1941427.7898249303,1.3783
23,1941034.2396534453,1.4308
24,1941016.8209523391,1.5210
25,1941007.8383418673,1.5754
26,1941005.4820648753,1.6694
27,1940983.7878621647,1.7623
28,1940952.3547731990,1.8149
29,1940878.6845427253,1.8694
30,1940747.1832354614,1.9258
31,1940585.3971185782,1.9823
32,1921196.8201531589,2.0329
33,1888785.0615447266,2.1301
34,1887935.8990950882,2.1957
35,1887587.6054126478,2.2800
36,1887192.2089976571,2.3714
37,1886634.5711147136,2.4629
38,1886271.2845257774,2.5573
39,1886077.3034146936,2.6603
40,1885954.2210987969,2.7664
41,1885811.5781801343,2.8693
42,1885645.2675717978,2.9881
43,1885503.2412188963,3.0940
44,1885155.8528683721,3.2012
45,1884660.4128471850,3.3433
46,1883616.1524514442,3.4491
47,1881672.9650849029,3.5549
48,1878016.7800343784,3.6464
49,1871404.0966973978,3.7207
50,1861048.8721030310,3.7919
51,1850148.2383225914,3.8445
52,1845585.7687852741,3.9152
53,1839880.9200311645,3.9687
54,1836089.8160301142,4.0222
55,1833405.0915103045,4.0756
56,1831248.5867616122,4.1282
57,1829388.2582257641,4.1826
58,1827722.1646548558,4.2362
59,1826203.5889633207,4.2907
60,1824811.4209485853,4.3451
61,1823529.9833286528,4.3995
62,1822333.3620106787,4.4530
63,1821232.6564287166,4.5075
64,1820214.3987527345,4.5609
65,1819270.3877436563,4.6163
66,1818398.0725851874,4.6698
67,1817742.3308898390,4.7204
68,1817085.0802988089,4.7739
69,1816481.0576254195,4.8256
70,1815828.6931525068,4.8812
71,1815246.1341520455,4.9328
72,1814624.4965996081,4.9873
73,1814076.0926522692,5.0379
74,1813469.2903305728,5.0914
75,1812941.4747365669,5.1420
76,1812350.5930674549,5.1955
77,1811842.1661661186,5.2460
78,1811275.5951219043,5.2995
79,1810780.5065939184,5.3501
80,1810247.1909002934,5.4055
81,1809766.8152385280,5.4581
82,1809248.7721398901,5.5135
83,1808799.0005947459,5.5641
84,1808341.8448941635,5.6175
85,1807771.8413434434,5.6710
86,1807366.5679246890,5.7216
87,1806564.3120651881,5.7741
88,1805901.6848751507,5.8237
89,1805443.1091973407,5.8763
90,1805007.8281579344,5.9260
91,1804643.7457910711,5.9796
92,1804155.5161446698,6.0322
93,1803803.7677637113,6.0819
94,1803502.7845397522,6.1354
95,1803139.7609867710,6.1850
96,1802862.6577439841,6.2385
97,1802449.8555303728,6.2910
98,1802134.2749984148,6.3407
99,1801898.3201941957,6.3942
100,1801565.4082646188,6.4439
101,1801344.3143854607,6.4983
102,1801021.9561584587,6.5480
103,1800821.3418914573,6.6015
104,1800505.7138532696,6.6512
105,1800319.2513698679,6.7047
106,1800009.7663413652,6.7553
107,1799831.9717559291,6.8088
108,1799526.7197996723,6.8594
109,1799358.7171558661,6.9130
110,1799057.4431112881,6.9636
111,1798899.5044268051,7.0171
112,1798604.8655344592,7.0677
113,1798454.7211500704,7.1212
114,1798163.5215652485,7.1719
115,1798024.0633250170,7.2254
116,1797737.9737888586,7.2761
117,1797606.7032308036,7.3296
118,1797326.5899095300,7.3803
119,1797199.8564369101,7.4339
120,1797049.1265725270,7.4865
121,1796760.5188375963,7.5363
122,1796641.2597295125,7.5888
123,1796371.7282480896,7.6385
124,1796260.5492531564,7.6911
125,1795995.6217527541,7.7417
126,1795890.4276051759,7.7943
127,1795628.5020253190,7.8440
128,1795528.8133780162,7.8976
129,1795270.1428033314,7.9473
130,1795175.4959711840,8.0008
131,1794918.6786529738,8.0505
132,1794828.0951158879,8.1039
133,1794573.9612910221,8.1536
134,1794487.0257919934,8.2062
135,1794235.6106500637,8.2570
136,1794151.2486782118,8.3097
137,1793900.6893984149,8.3593
138,1793819.9368333304,8.4118
139,1793570.3558336415,8.4615
140,1793492.6272296547,8.5140
141,1793243.9735688779,8.5637
142,1793169.7568162757,8.6163
143,1792921.9643222264,8.6659
144,1792851.1847511712,8.7185
145,1792604.3037311432,8.7682
146,1792535.4740988801,8.8207
147,1792288.5580714149,8.8704
148,1792222.8611626122,8.9228
149,1791979.0730055806,8.9725
150,1791916.5724720994,9.0251
151,1791674.2817376573,9.0748
152,1791615.1214314555,9.1274
153,1791375.6051172356,9.1771
154,1791319.5650016172,9.2326
155,1791083.1651564220,9.2824
156,1791031.9059379038,9.3379
157,1790798.0217240120,9.3876
158,1790751.7788580910,9.4430
159,1790520.0716715683,9.4927
160,1790479.1005929201,9.5472
161,1790249.5646882418,9.5969
162,1790212.6801000831,9.6494
163,1789985.0522656220,9.7000
164,1789952.1837299075,9.7526
165,1789726.1718476689,9.8023
166,1789697.0567189720,9.8568
167,1789472.8841543470,9.9065
168,1789447.1134989266,9.9619
169,1789224.7369060633,10.0117
170,1789197.4164269534,10.0671
171,1789173.4941364785,10.1217
172,1788953.0076815039,10.1724
173,1788925.5984043421,10.2270
174,1788881.1103743939,10.2796
175,1788652.6749128655,10.3303
176,1788603.8575710936,10.3828
177,1788431.9695445902,10.4325
178,1788395.0173426887,10.4850
179,1788321.5333712148,10.5248
180,1788110.5142377622,10.5615
181,1788084.4314201623,10.6011
182,1787866.4458652255,10.6379
183,1787842.1804570495,10.6775
184,1787625.0313188268,10.7142
185,1787605.3577233402,10.7539
186,1787389.7101002827,10.7906
187,1787371.2872516958,10.8302
188,1787157.2330255203,10.8669
189,1787141.5771771811,10.9065
190,1786928.4345433505,10.9433
191,1786914.9494493392,10.9830
192,1786703.8644208696,11.0197
193,1786692.0597231083,11.0594
194,1786481.7776444727,11.0961
195,1786472.2465710370,11.1357
196,1786263.2207199296,11.1725
197,1786255.6149648461,11.2121
198,1786047.7007714096,11.2489
199,1786041.9123000547,11.2885
200,1785835.6545161360,11.3254
201,1785831.5738859740,11.3652
202,1785626.0799104301,11.4021
203,1785623.7610959313,11.4420
204,1785419.6690465661,11.4788
205,1785418.4015157800,11.5186
206,1785215.4116838770,11.5554
207,1785201.8229358569,11.6083
208,1785158.3088906342,11.6481
209,1784973.7327965950,11.6850
210,1784960.5022333909,11.7378
211,1784918.1345671567,11.7776
212,1784734.9181662009,11.8145
213,1784722.3591780807,11.8673
214,1784607.6500606982,11.9041
215,1784605.0012742167,11.9569
216,1784571.9717620395,11.9966
217,1784387.6338676987,12.0336
218,1784377.3251520847,12.0863
219,1784340.0222905553,12.1261
220,1784159.7655016785,12.1629
221,1784150.9145238618,12.2157
222,1784038.4239899656,12.2526
223,1784037.3421843159,12.3055
224,1784008.1520122907,12.3453
225,1783826.1381212140,12.3821
226,1783818.2393306075,12.4349
227,1783705.7840441265,12.4718
228,1783703.4189254465,12.5256
229,1783699.5866565306,12.5784
230,1783569.4430810830,12.6165
231,1783566.6058916224,12.6703
232,1783562.8505169922,12.7231
233,1783439.6753103412,12.7599
234,1783437.2195714368,12.8136
235,1783433.9236172528,12.8664
236,1783309.2445050969,12.9034
237,1783307.4518644272,12.9572
238,1783305.6503908671,13.0101
239,1783182.6855019522,13.0469
240,1783182.4147601645,13.1007
241,1783181.5995073549,13.1536
242,1783058.8197623086,13.1904
243,1783056.8715202366,13.2442
244,1783054.2699120473,13.2970
245,1782932.4590320392,13.3339
246,1782930.4901644946,13.3877
247,1782928.0065446121,13.4405
248,1782806.7915411622,13.4774
249,1782804.9312003863,13.5312
250,1782802.7866676096,13.5840
251,1782682.2612319284,13.6209
252,1782680.5599375311,13.6748
253,1782678.8748374323,13.7275
254,1782558.9172927898,13.7644
255,1782557.4180043980,13.8181
256,1782556.0839816958,13.8709
257,1782436.9048976447,13.9078
258,1782435.5862831117,13.9617
259,1782434.6052083878,14.0146
260,1782316.1293711152,14.0515
261,1782315.0364542680,14.1052
262,1782314.3468409437,14.1580
263,1782196.5290053058,14.1949
264,1782195.7022528236,14.2487
265,1782195.5015563359,14.3015
266,1782078.1715272763,14.3384
267,1782077.5656196689,14.3922
268,1782076.0129984072,14.4460
269,1782070.0147577417,14.4857
270,1781897.9188136160,14.5225
271,1781896.4157215110,14.5753
272,1781876.8803778414,14.6151
273,1781711.0461640875,14.6520
274,1781709.7813343469,14.7047
275,1781610.0844398201,14.7416
276,1781609.5466884091,14.7963
277,1781609.0909761707,14.8510
278,1781608.4597082136,14.9048
279,1781605.7148651399,14.9446
280,1781433.3394409728,14.9814
281,1781430.4822954922,15.0352
282,1781428.0983614351,15.0880
283,1781316.9760942427,15.1249
284,1781316.3000511699,15.1797
285,1781316.1337162657,15.2334
286,1781314.1413654452,15.2862
287,1781191.3909224721,15.3230
288,1781190.7524628802,15.3778
289,1781190.2942798820,15.4325
290,1781189.9680988539,15.4862
291,1781186.5800763706,15.5390
292,1781063.0060968820,15.5759
293,1781062.4244879363,15.6307
294,1781062.0028064454,15.6855
295,1781061.7996535804,15.7391
296,1781058.5333819599,15.7919
297,1780934.6470445013,15.8288
298,1780934.2036487418,15.8835
299,1780933.9253469307,15.9382
300,1780933.5255270936,15.9930
301,1780932.5384477084,16.0467
302,1780838.8990538279,16.0836
303,1780838.8745985876,16.1403
304,1780838.8710812542,16.1970
305,1780838.8675676815,16.2546
306,1780838.8664176790,16.3132
307,1780838.8663827130,16.3718
308,1780838.8658662813,16.4314
309,1780838.8655738768,16.4900
310,1780838.8654780942,16.5496
311,1780773.6355695291,16.6101
312,1780717.3568523838,16.6705
313,1780665.8189306899,16.7310
314,1780615.8047183519,16.7915
315,1780611.7075335477,16.8312
316,1780581.7595581003,16.8917
317,1780579.2431342769,16.9314
318,1780549.1272610524,16.9919
319,1780547.7952418819,17.0316
320,1780517.1392795697,17.0921
321,1780516.7875025105,17.1319
322,1780485.5588218446,17.1924
323,1780484.9542294971,17.2320
324,1780453.1225689780,17.2926
325,1780451.4600950019,17.3322
326,1780419.1190686577,17.3927
327,1780416.2138676080,17.4325
328,1780383.4086390922,17.4929
329,1780379.5459522111,17.5327
330,1780346.3831658242,17.5932
331,1780341.8739730162,17.6330
332,1780308.4144460664,17.6935
333,1780303.4147679827,17.7332
334,1780269.6975720678,17.7937
335,1780264.2397681924,17.8334
336,1780230.3151539704,17.8940
337,1780224.5052663530,17.9337
338,1780224.4675408024,17.9735
339,1780191.8391149323,18.0132
340,1780144.1173375875,18.0529
341,1779971.0182124053,18.0897
342,1779912.0825494288,18.1503
343,1779878.6864396669,18.2108
344,1779875.0993548434,18.2505
345,1779841.3546110808,18.3112
346,1779838.7821625881,18.3520
347,1779804.4892885073,18.4126
348,1779801.3760077204,18.4522
349,1779766.5074651917,18.5126
350,1779761.9483623353,18.5524
351,1779726.5576895953,18.6128
352,1779720.6373642285,18.6525
353,1779718.7061227353,18.6922
354,1779700.5682971091,18.7320
355,1779652.7540725395,18.7717
356,1779608.7152179107,18.8114
357,1779433.9517360707,18.8483
358,1779374.6334789151,18.9088
359,1779341.2007008768,18.9694
360,1779338.6162298503,19.0091
361,1779304.7615058778,19.0697
362,1779303.1364284393,19.1096
363,1779268.7567496451,19.1703
364,1779266.6788988276,19.2101
365,1779231.6391155850,19.2706
366,1779228.1258186921,19.3103
367,1779192.5602992985,19.3708
368,1779187.5410759368,19.4106
369,1779186.5971775092,19.4503
370,1779169.4550402802,19.4901
371,1779124.3450766280,19.5298
372,1779082.8844502314,19.5696
373,1779040.4081449192,19.6093
374,1778865.2062586786,19.6461
375,1778805.5802168380,19.7065
376,1778771.9783556166,19.7670
377,1778770.3705698261,19.8067
378,1778736.4239709314,19.8670
379,1778735.5906006650,19.9068
380,1778701.0481167512,19.9674
381,1778699.7031990949,20.0071
382,1778664.5243684575,20.0676
383,1778661.7879942660,20.1072
384,1778626.0852007454,20.1678
385,1778621.8960357432,20.2075
386,1778585.7756886128,20.2679
387,1778580.1326557386,20.3077
388,1778577.7445689938,20.3474
389,1778559.6875838488,20.3871
390,1778518.3368752976,20.4268
391,1778479.6297142222,20.4666
392,1778439.9792667332,20.5063
393,1778267.9034756159,20.5431
394,1778208.0654492946,20.6035
395,1778174.4884423711,20.6640
396,1778173.8226534198,20.7037
397,1778139.9386133272,20.7641
398,1778117.1998304054,20.8245
399,1778083.5768801109,20.8613
400,1778060.7991873105,20.9218
401,1778027.1756903925,20.9586
402,1778026.1477450943,20.9983
403,1777993.5597188796,21.0589
404,1777971.2069387536,21.1193
405,1777938.1632615561,21.1560
406,1777937.8978121981,21.1958
407,1777905.8847223369,21.2562
408,1777883.8701188762,21.3167
409,1777851.2774234905,21.3535
410,1777828.9800115610,21.4140
411,1777796.0382408511,21.4508
412,1777794.6079686261,21.4905
413,1777763.5338845481,21.5510
414,1777741.9326419928,21.6116
415,1777709.7976600449,21.6485
416,1777707.7636048100,21.6882
417,1777677.2670952019,21.7504
418,1777676.8537844676,21.7905
419,1777646.0058276867,21.8511
420,1777625.2068988837,21.9126
421,1777594.8428940477,21.9494
422,1777593.1406466665,21.9891
423,1777562.9891371583,22.0497
424,1777562.9099378253,22.0895
425,1777532.0833148926,22.1500
426,1777511.4817059073,22.2105
427,1777481.4977855263,22.2473
428,1777480.2349045847,22.2871
429,1777450.2075168253,22.3476
430,1777429.8263789127,22.4081
431,1777399.8902549006,22.4450
432,1777397.6196198491,22.4848
433,1777368.1415959673,22.5453
434,1777367.6068949553,22.5850
435,1777337.4328574496,22.6455
436,1777317.2944264440,22.7060
437,1777287.9544724475,22.7428
438,1777286.2404983470,22.7825
439,1777256.8779655506,22.8430
440,1777256.7518029807,22.8827
441,1777226.5833860675,22.9432
442,1777206.5709638589,23.0037
443,1777198.7279467375,23.0434
444,1777178.6932642474,23.1038
445,1777171.1956634624,23.1436
446,1777151.0699425859,23.2041
447,1777143.8454132499,23.2439
448,1777123.6102422071,23.3044
449,1777116.6209809824,23.3442
450,1777096.3093613400,23.4046
451,1777089.5464461269,23.4442
452,1777069.1579732646,23.5048
453,1777062.3830947860,23.5446
454,1777041.9058322706,23.6051
455,1777034.9233979529,23.6448
456,1777014.3749217738,23.7053
457,1777007.2015650100,23.7450
458,1776986.6039837305,23.8054
459,1776979.3585744845,23.8452
460,1776958.7062432196,23.9057
461,1776951.3360879109,23.9454
462,1776930.6393651413,24.0059
463,1776923.2107410748,24.0457
464,1776902.4732462424,24.1062
465,1776895.0640091000,24.1459
466,1776874.2832513964,24.2064
467,1776866.8105686104,24.2462
468,1776845.9846416530,24.3067
469,1776838.4218605394,24.3464
470,1776817.5675139842,24.4069
471,1776809.9457352082,24.4466
472,1776789.0646894814,24.5071
473,1776781.3755516377,24.5468
474,1776760.4732948449,24.6073
475,1776752.7255545189,24.6470
476,1776731.7981606449,24.7075
477,1776724.0266953893,24.7472
478,1776703.0678645791,24.8077
479,1776695.2812290031,24.8476
480,1776674.3059376345,24.9080
481,1776666.5584221159,24.9477
482,1776645.5746780448,25.0082
483,1776637.8211834691,25.0479
484,1776616.8282205805,25.1085
485,1776609.0779685020,25.1481
486,1776588.0795098455,25.2099
487,1776580.3405904945,25.2496
488,1776559.3405611585,25.3101
489,1776551.6101537514,25.3498
490,1776530.6134719525,25.4102
491,1776522.9103389087,25.4500
492,1776501.9159129816,25.5105
493,1776494.2665218574,25.5502
494,1776473.2712296136,25.6106
495,1776465.7087410372,25.6503
496,1776444.7184406805,25.7108
497,1776437.3955459485,25.7505
498,1776416.4047890978,25.8110
499,1776409.2618252242,25.8507
500,1776388.2742049464,25.9113
501,1776381.3027206110,25.9511
502,1776360.3181028352,26.0116
503,1776353.4525721569,26.0513
504,1776332.4657455990,26.1118
505,1776325.7013409198,26.1516
506,1776304.7197385044,26.2121
507,1776298.0168955389,26.2518
508,1776277.0360975079,26.3123
509,1776270.3400373305,26.3520
510,1776249.3615347561,26.4124
511,1776242.6769031200,26.4521
512,1776221.7025810766,26.5126
513,1776215.0142985368,26.5523
514,1776194.0462365700,26.6127
515,1776187.3396669868,26.6524
516,1776166.3778530983,26.7129
517,1776159.6656143090,26.7526
518,1776138.7092745111,26.8131
519,1776131.9803024216,26.8528
520,1776111.0343920251,26.9133
521,1776104.3399826915,26.9531
522,1776083.4032570727,27.0136
523,1776076.7427797422,27.0533
524,1776055.8213741365,27.1138
525,1776049.1578908518,27.1535
526,1776028.2565428000,27.2140
527,1776021.5735223093,27.2537
528,1776000.6874953157,27.3142
529,1775994.0032210441,27.3539
530,1775973.1356803817,27.4144
531,1775966.4530971667,27.4541
532,1775945.6011232180,27.5146
533,1775938.9196715681,27.5544
534,1775918.0855190107,27.6149
535,1775911.4087638962,27.6546
536,1775890.5906942589,27.7151
537,1775883.9249184064,27.7548
538,1775863.1250489017,27.8153
539,1775856.4668037416,27.8549
540,1775835.6855620320,27.9155
541,1775829.0376974246,27.9552
542,1775808.2805490848,28.0157
543,1775801.6275841831,28.0554
544,1775780.8934586318,28.1160
545,1775774.2398813628,28.1558
546,1775753.5326932387,28.2162
547,1775746.8875018768,28.2560
548,1775726.2045040068,28.3165
549,1775719.5567115210,28.3562
550,1775698.8985607717,28.4166
551,1775692.2664003179,28.4563
552,1775671.6292241034,28.5168
553,1775664.9985730387,28.5566
554,1775644.3871924493,28.6170
555,1775637.7591686042,28.6568
556,1775617.1741472059,28.7173
557,1775610.5591172238,28.7570
558,1775590.0002943664,28.8174
559,1775583.3792272515,28.8571
560,1775562.8426663633,28.9177
561,1775556.2111299124,28.9587
562,1775535.6993938941,29.0192
563,1775529.0694798734,29.0590
564,1775508.5782239079,29.1208
565,1775501.9528087359,29.1605
566,1775481.4836805179,29.2211
567,1775474.8525027223,29.2608
568,1775454.4105733591,29.3214
569,1775447.7752062688,29.3612
570,1775427.3595194712,29.4217
571,1775420.7160643721,29.4614
572,1775400.3232393954,29.5219
573,1775393.6883918885,29.5618
574,1775373.3162470087,29.6223
575,1775366.6912363872,29.6620
576,1775346.3468491028,29.7225
577,1775339.7386033183,29.7622
578,1775319.4186005578,29.8227
579,1775312.8160630462,29.8625
580,1775292.5145412462,29.9229
581,1775285.9144456664,29.9627
582,1775265.6332857679,30.0231
583,1775259.0319262391,30.0628
584,1775238.7673528322,30.1233
585,1775232.1786271103,30.1635
586,1775211.9337930174,30.2240
587,1775205.3409252693,30.2637
588,1775185.1186107544,30.3243
589,1775178.5263152109,30.3641
590,1775158.3274648669,30.4246
591,1775151.7420635035,30.4644
592,1775131.5705392128,30.5249
593,1775124.9916419615,30.5646
594,1775104.8442138203,30.6251
595,1775098.2659972142,30.6648
596,1775078.1440852785,30.7252
597,1775071.5632666920,30.7650
598,1775051.4647482084,30.8255
599,1775044.8824567208,30.8652
600,1775024.8052360381,30.9256
