# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,6547059.3075566245,0.0466
2,3700154.8289913582,0.0989
3,2699381.9091725466,0.1666
4,2337903.1588071254,0.2026
5,2214767.9300560248,0.2387
6,2043906.0466325644,0.3206
7,2000701.9959472364,0.3811
8,1954448.1742501578,0.4484
9,1927071.8633392218,0.5184
10,1912324.6577870571,0.5922
11,1911577.2772526799,0.6460
12,1911353.3769657523,0.7007
13,1907058.5560167488,0.7602
14,1906919.0860295608,0.8153
15,1900859.1933243913,0.8711
16,1899654.3429727866,0.9269
17,1898815.5855182416,0.9808
18,1895436.9314668735,1.0337
19,1892872.5492220954,1.0867
20,1892504.9883822377,1.1397
21,1890042.5712062472,1.1937
22,1888174.6862525607,1.2476
23,1887350.7672302991,1.3016
24,1886815.5450470685,1.3973
25,1886335.1020111018,1.4532
26,1885854.9406714980,1.5080
27,1885383.7265937305,1.5619
28,1884923.5725814418,1.6158
29,1884306.8900948102,1.6697
30,1884195.9244546152,1.7256
31,1884018.8491608936,1.7814
32,1883988.2702944791,1.8771
33,1883915.8633883360,1.9329
34,1883823.8588980630,1.9887
35,1883700.7841902908,2.0447
36,1883589.7677936200,2.0996
37,1883343.6339753373,2.1544
38,1883260.5634801143,2.2103
39,1883157.6853898528,2.2661
40,1882944.2767351887,2.3219
41,1882799.2449338869,2.3909
42,1882683.5894925965,2.4867
43,1882511.1790559380,2.5425
44,1882334.3232552626,2.5975
45,1882035.9953282347,2.6524
46,1881973.5960455541,2.7481
47,1881876.0224018313,2.8039
48,1881720.5225317255,2.8598
49,1881569.6578972749,2.9156
50,1881419.4260142429,2.9705
51,1881151.1678503326,3.0254
52,1881051.3022129850,3.1210
53,1880939.2624090754,3.1779
54,1880776.7121765893,3.2338
55,1880614.4055194343,3.2887
56,1880336.9068404497,3.3436
57,1855638.1130461853,3.3947
58,1831418.5531882811,3.4308
59,1830837.6837588642,3.4670
60,1830716.9344436910,3.5032
61,1830507.9119168781,3.5394
62,1830271.2005108218,3.5755
63,1830025.6421153899,3.6116
64,1829770.8130592043,3.6478
65,1829506.6032792220,3.6840
66,1829005.5703909143,3.7229
67,1828234.4522461875,3.7620
68,1826669.3553933376,3.8010
69,1824113.0034243306,3.8400
70,1819540.5159364939,3.9195
71,1819073.8731810506,3.9716
72,1818585.0803327272,4.0235
73,1818068.3137133038,4.0755
74,1815111.3761444218,4.1597
75,1814248.9068012347,4.2089
76,1813401.4771531629,4.2580
77,1811616.5499885404,4.3143
78,1808969.8581167478,4.3706
79,1804940.4511463570,4.4269
80,1798868.1378922556,4.4832
81,1796167.2994082654,4.5194
82,1790647.0742008681,4.5728
83,1784741.6244861670,4.6291
84,1779036.2795535992,4.6653
85,1770677.5622332206,4.7518
86,1767600.5667203136,4.8162
87,1764810.6070915326,4.8809
88,1762602.5531511349,4.9171
89,1753552.3643172914,5.0009
90,1748904.5209308667,5.0559
91,1745524.1051412944,5.0921
92,1736048.4941213005,5.2447
