# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357467,0.0000
1,2170136.3176783491,0.0122
2,869806.2790742532,0.0247
3,567418.6040721691,0.0415
4,400594.1646215611,0.0506
5,371447.4905176547,0.0658
6,362562.8273563625,0.0749
7,360836.3551291170,0.1032
8,359914.8993256470,0.1277
9,359384.3047929221,0.1395
10,359238.6345573040,0.1513
11,359181.8738832177,0.1632
12,359164.6175025938,0.1750
13,358998.4371748464,0.1841
14,358973.3180980472,0.1932
15,358961.1218605823,0.2050
16,358958.9709403100,0.2173
17,358952.6556533236,0.2345
18,358950.4478582849,0.2437
19,358949.8199106861,0.2555
20,358949.4738538365,0.2673
21,358949.1772840143,0.2791
22,358948.8911237545,0.2909
23,358948.6180030025,0.3027
24,358948.3529139766,0.3145
25,358948.0925820156,0.3262
26,358947.7743977479,0.3354
27,358947.4592428939,0.3445
28,358947.1454088500,0.3535
29,358946.8284274167,0.3626
30,358946.5079331473,0.3717
31,358946.1933770013,0.3808
32,358945.8796626268,0.3900
33,358945.5678887185,0.3991
