# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322539,0.0405
2,3723398.1420859960,0.0885
3,2649101.3772308487,0.1507
4,2222822.2596008778,0.1868
5,2043410.2472269055,0.2389
6,2002349.2074617266,0.3101
7,1974790.2370890169,0.3747
8,1974269.6504045126,0.4277
9,1972566.0820753360,0.4807
10,1972037.6724866468,0.5338
11,1956160.4022851076,0.5868
12,1954580.6609015791,0.6398
13,1952805.6475574558,0.7357
14,1951881.4631071284,0.7917
15,1951207.9844861191,0.8480
16,1950587.1224287599,0.9045
17,1949897.2928154608,0.9606
18,1949160.3455469219,1.0149
19,1948826.6495078376,1.1108
20,1948555.3259019351,1.1667
21,1948273.8513229794,1.2227
22,1947986.7914968075,1.2776
23,1947598.0499778776,1.3327
24,1947500.5295281510,1.4285
25,1947364.7070882116,1.4843
26,1947186.2728692666,1.5403
27,1947012.0669670573,1.5962
28,1946845.9866923583,1.6512
29,1946601.2816071757,1.7062
30,1946539.0902557261,1.8021
31,1946461.6031092429,1.8580
32,1946357.5615322264,1.9141
33,1944263.6034404677,1.9831
34,1939371.6859595673,2.0409
35,1930153.8868302004,2.0987
36,1913374.4596679157,2.1556
37,1912601.1958599470,2.2174
38,1893107.5345302953,2.2791
39,1876434.7289061530,2.3447
40,1863800.6784665219,2.4093
41,1857596.7484907929,2.5119
42,1845005.1610557593,2.6103
43,1829300.9410192450,2.7335
44,1810101.5532672859,2.8596
45,1802495.5524207379,2.9222
46,1797056.1678319920,2.9781
47,1791262.4668901896,3.0292
48,1778850.8092196155,3.1840
49,1770608.7155634610,3.3042
50,1766187.6193267219,3.3563
51,1759410.0713694927,3.4066
52,1756390.4587680511,3.4712
53,1754304.4717031787,3.5349
54,1752402.3185619893,3.6433
55,1749842.4983927305,3.7933
56,1743412.8323781963,3.8896
