# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,6547059.3075566245,0.0435
2,3700154.8289913572,0.0933
3,2699381.9091724260,0.1603
4,2337903.1587989777,0.1979
5,2214767.0966041079,0.2353
6,2043907.0690937107,0.3180
7,2000703.0130292012,0.3787
8,1954448.7120050716,0.4461
9,1927059.0754664449,0.5163
10,1912368.2994474210,0.5905
11,1911668.9482241073,0.6445
12,1911320.4145235594,0.6994
13,1911106.1608771866,0.7554
14,1900271.2650891102,0.8655
15,1893822.3939120574,0.9613
16,1893822.1485091099,1.2588
17,1893820.4516186945,1.3127
18,1893817.2232308150,1.3658
19,1893813.1406107673,1.4207
20,1893811.8317695062,1.5146
21,1893767.5755697647,1.6067
22,1893746.7162700824,1.6598
23,1893714.1166008550,1.7147
24,1893714.0755294447,1.8087
25,1893713.7848798526,1.8588
26,1893712.8576029856,1.8951
27,1893712.7333870432,1.9462
28,1893712.6061079074,1.9973
29,1893709.3817390245,2.0513
30,1893704.1615379616,2.1054
31,1893693.0031811767,2.1614
32,1893692.9590644729,2.2582
33,1893692.8270247055,2.2943
34,1893692.6774892809,2.3305
35,1893692.5399528337,2.3667
36,1893692.3846871473,2.4027
37,1893692.2108538211,2.4389
38,1893692.0600226838,2.4750
39,1893691.8909873359,2.5112
