# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776605,0.0132
2,1506203.5600746702,0.0275
3,1127133.1806397110,0.0437
4,820037.3684094348,0.0589
5,497540.1090292385,0.0773
6,373473.4894616491,0.0967
7,312813.0364435466,0.1248
8,285659.0535193809,0.1410
9,271070.6913886132,0.1531
10,265559.8746222872,0.1660
11,262360.0932653879,0.1788
12,258725.3918873041,0.1904
13,257432.6359404319,0.2021
14,255128.5403196696,0.2111
15,253913.6379527068,0.2201
16,253204.1190201904,0.2291
17,252796.0829951080,0.2381
18,252186.4576152644,0.2470
19,251721.1261459976,0.2560
20,251342.4264304268,0.2650
21,251032.8141515577,0.2740
22,250775.3985528391,0.2830
23,250558.2771714533,0.2920
24,250372.8403331313,0.3010
25,250212.7036552764,0.3099
26,250073.0133134612,0.3189
27,249949.9924865141,0.3279
28,249840.7971407039,0.3369
29,249743.2063695025,0.3459
30,249358.7453726080,0.3549
31,249197.5745178750,0.3639
32,249057.6220846437,0.3730
33,248935.1807411952,0.3819
34,248826.8608744647,0.3910
35,248730.0223455236,0.4000
36,248642.5979204570,0.4089
37,248562.9584681972,0.4179
38,248419.8003982972,0.4278
39,248405.4172836571,0.4404
40,248402.0459133377,0.4532
41,248377.6195901158,0.4622
42,248354.7233949700,0.4711
43,248332.4687888034,0.4802
44,248310.8163122986,0.4892
45,248289.7295098472,0.4982
46,248269.1743498192,0.5071
47,248249.1192032246,0.5161
48,248229.5337333463,0.5251
49,248210.3906886337,0.5341
50,248175.0072444178,0.5440
51,248168.5627583664,0.5566
52,248161.7690833384,0.5744
53,248155.0868524114,0.5834
54,248146.9059694967,0.5934
55,248140.3041938138,0.6033
56,248107.7272652837,0.6132
57,248090.3954903606,0.6231
58,248084.7245033958,0.6330
59,248079.8060583871,0.6430
60,248075.1538365158,0.6529
61,248070.7544829510,0.6628
62,248066.6013578818,0.6727
63,248062.6873658327,0.6827
64,248059.0043750624,0.6926
65,248055.5439468651,0.7026
66,248039.3080520293,0.7117
67,248029.4493984789,0.7207
68,248026.0730446750,0.7306
69,248009.7396556717,0.7396
70,248000.0539274756,0.7486
71,247996.7218804909,0.7586
72,247980.3096061490,0.7676
73,247970.7963090820,0.7766
74,247967.4867577088,0.7865
75,247951.0150439315,0.7956
76,247941.6733745333,0.8046
77,247938.3610514052,0.8145
78,247921.8495092209,0.8236
79,247912.6783222304,0.8326
80,247909.3342737191,0.8425
81,247892.8024447344,0.8515
82,247883.8002586469,0.8605
83,247880.3915585934,0.8705
84,247878.3801679866,0.8795
85,247861.3368218048,0.8885
86,247852.3148028017,0.8976
87,247850.6163307232,0.9066
88,247833.7498806611,0.9156
89,247824.9588075716,0.9246
90,247820.9516874439,0.9346
91,247819.5401218823,0.9436
92,247802.1988486454,0.9526
93,247793.3736331261,0.9617
94,247792.2128748040,0.9707
95,247775.0998467763,0.9797
96,247766.5019111124,0.9887
97,247761.5992970596,0.9986
98,247744.6455444237,1.0130
99,247736.2420018994,1.0219
100,247731.0151025619,1.0319
101,247714.2358273100,1.0462
102,247706.0261105876,1.0552
103,247700.4193029153,1.0651
104,247683.8343070564,1.0795
105,247675.8174131949,1.0884
106,247669.7742055102,1.0984
107,247653.4032027690,1.1127
108,247645.5785723127,1.1217
109,247639.0395268212,1.1317
110,247622.9023129079,1.1460
111,247615.2698705402,1.1551
112,247608.1776397323,1.1650
113,247606.0955984786,1.1766
114,247605.6403055730,1.1892
115,247603.4433566583,1.1982
116,247601.5109215759,1.2082
117,247600.6172057377,1.2172
118,247599.7254469322,1.2262
119,247598.8354858247,1.2352
120,247597.9467993125,1.2443
121,247597.0589804018,1.2533
122,247596.1716025698,1.2623
123,247595.2842468903,1.2713
124,247594.3964929953,1.2803
125,247593.5079215641,1.2893
126,247592.6181127399,1.2983
127,247591.7266468971,1.3073
128,247590.8331063074,1.3163
