# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2104980.2502044518,0.0146
2,1506370.3247742816,0.0285
3,1393631.4250737622,0.0577
4,1263249.4745011120,0.0686
5,1144304.1347790814,0.0813
6,997550.2345055474,0.0959
7,871084.6647694933,0.1113
8,655909.4477235051,0.1268
9,458398.8204701220,0.1431
10,397109.1504885945,0.1607
11,307201.7745428021,0.1726
12,279436.0911555645,0.1845
13,275526.8105053221,0.1936
14,260615.9845166230,0.2026
15,259206.3883642810,0.2116
16,248025.8915015450,0.2206
17,245867.2442291261,0.2324
18,245594.0865104090,0.2414
19,244372.0983630015,0.2504
20,243819.3522574353,0.2953
21,243382.0019733434,0.3172
