# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322483,0.0692
2,3723398.1420859951,0.1428
3,2649101.3772307434,0.2305
4,2222822.2595923180,0.2921
5,2043410.2473043930,0.3697
6,2002353.4522285908,0.4666
7,1973677.5145259630,0.5563
8,1973052.4130166853,0.6356
9,1972627.3813387989,0.7152
10,1950221.3128699921,0.7937
11,1939893.8158885988,0.8890
12,1929454.3472856830,0.9703
13,1927493.0530023063,1.0606
14,1927197.4453952545,1.1916
15,1927006.6793443640,1.2846
16,1916653.5811030816,1.4461
17,1905553.9081919671,1.5388
18,1905389.7387883696,1.6194
19,1903198.0153962884,1.7011
20,1901679.3396809245,1.7799
21,1901260.1828264848,1.9189
22,1899979.6563864741,1.9969
23,1898522.0532347667,2.0831
24,1896421.1514377967,2.1724
25,1894184.0301611258,2.2618
26,1891091.3729070583,2.3503
27,1889158.1522800813,2.5024
28,1886282.1818733600,2.5897
29,1883872.8191594505,2.6802
30,1882058.2314007930,2.7687
31,1881090.8292367905,2.8591
32,1880273.4938673265,3.0163
33,1879019.6222992293,3.1056
34,1878437.3725173224,3.1950
35,1877631.8244592831,3.2852
36,1876391.5661028812,3.3754
37,1875861.2297631130,3.4656
38,1875064.8490445218,3.6260
39,1873874.8937175774,3.7181
40,1873666.1325123291,3.8094
41,1872880.9487012911,3.9698
42,1871694.1010347966,4.0618
43,1871552.7726004645,4.1531
44,1870778.6187042599,4.2452
45,1869619.4721179970,4.3375
46,1869334.2245166546,4.4289
47,1868552.2112210854,4.5894
48,1867402.7240082328,4.6816
49,1867300.4950722221,4.7728
50,1866533.2627246738,4.8651
51,1865404.7105222689,4.9573
52,1863936.6511896141,5.0515
53,1862428.6184463201,5.2094
54,1860166.8325145943,5.2990
55,1857413.7962930952,5.3885
56,1857411.7253466509,5.8672
57,1857377.9167341639,5.9296
58,1857352.1439987752,5.9921
59,1857308.4463129775,6.0546
60,1857305.5276270611,6.1322
61,1857298.8933123816,6.2076
62,1857282.8982998813,6.2703
63,1857252.9336925999,6.3326
64,1857250.2146465078,6.4090
65,1857235.3099479778,6.4716
66,1857218.1002801023,6.5341
67,1857194.6493485481,6.5965
68,1857190.2895820413,6.6720
69,1857139.0650738387,6.7344
70,1857098.0904175283,6.7965
71,1857052.2961942847,6.8612
72,1857031.4008269890,6.9245
73,1856980.9344359434,6.9871
74,1856980.1471255978,7.1169
75,1856969.3820636633,7.1796
76,1856952.4536702912,7.2420
77,1856952.4364098117,7.3788
78,1856952.2610431460,7.4794
79,1856952.2561533495,7.5579
80,1856952.2230489189,7.6345
81,1856951.2662938477,7.6971
82,1856947.6698799182,7.7596
83,1856935.9036949212,7.8224
84,1856906.5617740997,7.8851
85,1856896.6900329201,7.9856
86,1856882.8134168400,8.0489
87,1856878.9563882616,8.1126
88,1856874.2986304117,8.1761
89,1856864.9422020025,8.2397
90,1856862.1126969191,8.3034
91,1856862.0427626087,8.4438
92,1856861.9273844678,8.5076
