# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,3885946.3606600342,0.0263
2,2274789.7410859005,0.0495
3,1715498.9935501229,0.0864
4,1327554.6891690856,0.1197
5,885546.9470391143,0.1687
6,686716.3948762028,0.2195
7,612002.3131973214,0.2704
8,548318.5897163092,0.2981
9,515880.1059073910,0.3240
10,506730.2826478308,0.3748
11,505412.2348857392,0.4191
12,503422.3811037193,0.4598
13,498480.6707091920,0.5272
14,498213.0835976512,0.5615
15,498148.2778405377,0.6086
16,497953.1411692811,0.6613
17,497952.4627661375,0.7573
18,497952.3883236051,0.7980
19,497952.3710527247,0.8441
20,497952.3371071951,0.8821
21,497952.3362531841,0.9237
22,497952.3358685103,0.9690
23,497952.3357214588,1.0419
24,497952.3356876912,1.0854
25,497952.3356816221,1.1325
26,497952.3356686805,1.2510
27,497952.3356676897,1.3184
28,497952.3356673985,1.3830
29,497952.3356672954,1.4421
30,497952.3356672530,1.5080
31,497952.3356672364,1.5514
32,497952.3356672268,1.6283
