# algo=mfree_shifted_cg problem=/tmp/prism-speed-novelty/inputs/final-394.txt
iter,cost,wall_s
0,4545737.6927971579,0.0000
1,744419.8645690707,0.0162
2,504978.8364662741,0.0344
3,392513.0828314583,0.0456
4,342403.0334777578,0.0579
5,321406.9508428333,0.0759
6,313104.7158206705,0.0969
7,310943.0038614662,0.1111
8,309386.4649576433,0.1458
9,309029.1542142513,0.1572
10,308918.3091022843,0.1728
11,308843.7011207541,0.1841
12,308531.5846741151,0.1975
13,308326.9721163044,0.2149
14,307872.2880840610,0.2302
15,307649.0415776137,0.2516
16,306054.8950276024,0.2980
