# algo=mfree_shifted_cg problem=/tmp/prism-speed-novelty/inputs/ladybug-539.txt
iter,cost,wall_s
0,5535080.1182407318,0.0000
1,334274.1083714685,0.0123
2,209126.4086812069,0.0257
3,184686.6167799237,0.0349
4,174734.7325715577,0.0419
5,172260.6793153950,0.0488
6,169220.5392065327,0.0558
7,168094.4508467075,0.0627
8,167385.2996254297,0.0697
9,166904.3373797665,0.0766
10,165668.6761887197,0.0847
11,165394.8980672563,0.0917
12,165280.7970483940,0.0987
13,165193.4477506048,0.1056
14,164587.1370354022,0.1148
