# algo=mfree_shifted_cg problem=/tmp/prism-speed-novelty/inputs/trafalgar-138.txt
iter,cost,wall_s
0,20163569.0159171969,0.0000
1,461208.5689787049,0.0082
2,161402.0869548504,0.0145
3,120134.0452049938,0.0235
4,110467.1056767714,0.0289
5,108886.2365154329,0.0533
6,105306.7717097929,0.0575
7,104940.8761961263,0.0649
8,104915.4901181900,0.0690
9,104909.8930132193,0.0730
10,104898.4576062655,0.0779
11,104895.3139387463,0.0820
12,104893.3925521758,0.0861
13,104831.9912164054,0.0935
14,104822.5392146939,0.0976
15,104819.3523466741,0.1017
16,104816.9083172696,0.1058
17,104814.8665736182,0.1099
18,104813.0922912509,0.1139
19,104811.5076254772,0.1180
20,104810.1005186681,0.1221
21,104808.7910453880,0.1262
22,104807.6113881637,0.1303
23,104806.5327088879,0.1344
24,104805.5307179859,0.1385
25,104804.5995817323,0.1426
26,104803.7089865135,0.1467
27,104801.4581527085,0.1512
28,104800.6057014143,0.1553
29,104498.4132979585,0.2087
30,103736.6101206291,0.2128
31,103295.4002471240,0.2684
