# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776559,0.0122
2,1506203.5600746709,0.0248
3,1127133.1806397124,0.0393
4,820037.3684094187,0.0529
5,497540.1090292337,0.0693
6,373473.4894440380,0.0865
7,312813.0364444146,0.1128
8,285659.1160756350,0.1290
9,271070.7342643725,0.1411
10,265559.8248632579,0.1541
11,262360.0610132415,0.1669
12,258725.3851062481,0.1785
13,257432.8274394532,0.1902
14,255128.3454911538,0.1992
15,253914.1756656736,0.2083
16,253204.5437586716,0.2172
17,252796.0165722848,0.2262
18,252186.4363497669,0.2352
19,251721.1057480751,0.2443
20,251342.4068797739,0.2533
21,251032.7951075399,0.2623
22,250775.3795133069,0.2713
23,250558.2584250585,0.2804
24,250372.8216625201,0.2894
25,250212.6847765587,0.2984
26,250072.9944828311,0.3074
27,249949.9735318064,0.3164
28,249840.7777419729,0.3254
29,249743.1872935059,0.3345
30,249358.7237772915,0.3435
31,249197.5539210015,0.3525
32,249057.6026079705,0.3615
33,248935.1624997103,0.3705
34,248826.8440313848,0.3795
35,248730.0069312301,0.3885
36,248642.5839181980,0.3975
37,248562.9458873080,0.4066
38,248419.7954413093,0.4165
39,248405.4159699075,0.4291
40,248402.0647861446,0.4419
41,248377.6385703442,0.4509
42,248354.7438739007,0.4599
43,248332.4912158617,0.4689
44,248310.8409774581,0.4780
45,248289.7568725062,0.4870
46,248269.2048235240,0.4960
47,248249.1530355954,0.5050
48,248229.5716822669,0.5140
49,248210.4328141872,0.5231
50,248175.1253920057,0.5330
51,248168.6954013383,0.5455
52,248161.9158429251,0.5635
53,248155.2726411172,0.5725
54,248147.2548016078,0.5825
55,248144.7281424056,0.5924
56,248133.3977014416,0.6015
57,248110.6465366664,0.6114
58,248106.4579777364,0.6214
59,248103.9620644671,0.6313
60,248093.3140179108,0.6404
61,248083.3562471774,0.6494
62,248052.8071837114,0.6594
63,248045.7107895208,0.6693
64,248040.8788695192,0.6793
65,248036.3385863283,0.6892
66,248032.0340852949,0.6992
67,248027.9581527776,0.7091
68,248024.1024729362,0.7190
69,248020.4584549896,0.7290
70,248017.0175835100,0.7389
71,248000.6017760106,0.7480
72,247990.9554893745,0.7570
73,247987.5592220294,0.7669
74,247971.0635038962,0.7759
75,247961.5840039692,0.7850
76,247958.1894266866,0.7949
77,247941.6347969159,0.8039
78,247932.3226418280,0.8129
79,247928.9064322145,0.8228
80,247912.3144088773,0.8319
81,247903.1697026149,0.8409
82,247899.7037750891,0.8508
83,247897.4659529984,0.8598
84,247880.3543398828,0.8688
85,247871.1950711470,0.8778
86,247869.2881789398,0.8868
87,247852.3434223089,0.8958
88,247843.4185437464,0.9049
89,247839.4098387364,0.9148
90,247837.8111724593,0.9239
91,247820.3842791219,0.9329
92,247811.4308047651,0.9419
93,247810.1001701355,0.9509
94,247792.8920252675,0.9599
95,247784.1691275112,0.9689
96,247779.3359182650,0.9789
97,247778.2467421113,0.9879
98,247760.6053402651,0.9969
99,247751.8491406421,1.0059
100,247746.4779120906,1.0159
101,247729.0550126426,1.0302
102,247720.5157955959,1.0392
103,247714.7678346846,1.0491
104,247697.5771252936,1.0635
105,247689.2543009694,1.0725
106,247683.0715264125,1.0824
107,247666.1327223531,1.0968
108,247658.0249894503,1.1058
109,247651.3482431252,1.1157
110,247634.6806592724,1.1301
111,247626.7870685694,1.1391
112,247619.5532918924,1.1490
113,247603.1760974294,1.1634
114,247595.4961236543,1.1724
115,247587.6504328542,1.1823
116,247585.6167895997,1.1940
117,247585.1713184362,1.2066
118,247582.9924614668,1.2156
119,247582.1585643264,1.2246
120,247581.3243159985,1.2336
121,247580.4908708796,1.2426
122,247579.6578263613,1.2516
123,247578.8247573179,1.2606
124,247577.9912497238,1.2697
125,247577.1568882276,1.2787
126,247576.3212590456,1.2877
127,247575.4839475533,1.2967
128,247574.6445407671,1.3057
129,247573.8026246136,1.3148
130,247572.9577863647,1.3238
131,247572.1096125509,1.3328
