# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2104980.2502044509,0.0130
2,1505431.0221679909,0.0294
3,1137576.5253996414,0.0421
4,837057.4156624463,0.0548
5,513942.0358984827,0.0702
6,362161.6464746149,0.0884
7,290816.0759499242,0.1001
8,284803.4705702465,0.1164
9,274952.0033401136,0.1290
10,272820.5664252990,0.1409
11,271151.0708600578,0.1528
12,270481.4701336955,0.1752
13,266168.1106887503,0.1878
14,264779.2121229250,0.1977
15,262771.7202318100,0.2077
16,261946.5848731180,0.2177
17,261337.0403710463,0.2276
18,261045.1144741424,0.2376
19,260846.5039680484,0.2475
20,260685.2723148342,0.2602
21,260555.5412263067,0.2702
22,260489.5028767473,0.2828
23,260421.4899312988,0.2927
24,260363.3809932581,0.3027
25,260321.0970030231,0.3126
26,260275.1408844072,0.3289
27,260229.4277160020,0.3478
28,260188.9097303764,0.3578
29,260165.7810263903,0.3677
30,260127.4765489772,0.3777
31,259753.3128480289,0.3912
32,259656.6847267796,0.4002
33,259581.5177080972,0.4092
34,259520.6553633361,0.4183
35,259466.1158828321,0.4273
36,259422.3734802453,0.4363
37,259384.9422330540,0.4453
38,259351.3629080234,0.4544
39,259320.6081952268,0.4634
40,259292.9474150408,0.4724
41,259267.7598414697,0.4815
42,259244.6539010664,0.4905
43,259224.1641066320,0.4996
44,259205.8050169161,0.5086
45,259189.1847714555,0.5176
46,259173.9904072628,0.5266
47,259160.0144227613,0.5356
48,259147.3354747845,0.5446
49,259135.5893734490,0.5537
50,259124.7053959014,0.5627
51,259114.5737902754,0.5718
52,259105.1148910568,0.5808
53,259096.2346825700,0.5898
54,259087.8291107542,0.5988
55,259079.9543352576,0.6078
56,259072.5658766280,0.6169
57,259065.5369179624,0.6259
58,259058.7407267994,0.6349
59,259037.2005992109,0.6449
60,259029.8937157591,0.6539
61,259012.4657313396,0.6638
62,258998.2825710182,0.6738
63,258985.1903879712,0.6838
64,258972.2345489185,0.6938
65,258959.6338334448,0.7037
66,258935.1434442325,0.7146
67,258921.4428082491,0.7245
68,258897.7834986859,0.7354
69,258875.1826627166,0.7463
70,258853.0577430775,0.7571
71,258831.3676470159,0.7680
72,258810.0852439716,0.7788
73,258789.1966721561,0.7897
74,258768.3779774378,0.8006
75,258756.6231136292,0.8105
76,258737.0083407459,0.8214
77,258717.3876346277,0.8323
78,258697.8065774754,0.8431
79,258678.8928042433,0.8540
80,258660.7162099693,0.8649
81,258643.0967170758,0.8757
82,258625.9409697393,0.8866
83,258609.3201430975,0.8974
84,258592.9947556666,0.9083
85,258576.9615899013,0.9191
86,258561.2325943710,0.9300
87,258545.8011568116,0.9409
88,258530.6951721234,0.9518
89,258516.0043335076,0.9626
90,258501.7305002946,0.9735
91,258487.9305373648,0.9844
92,258474.6414432834,0.9953
93,258461.8620997823,1.0062
94,258449.3791033838,1.0170
95,258437.1720282011,1.0279
96,258425.2289441686,1.0387
97,258413.5412238005,1.0496
98,258402.1004402446,1.0605
99,258390.8989281928,1.0714
100,258379.9181474076,1.0823
101,258369.1101668332,1.0932
102,258358.4716847827,1.1040
103,258347.9999750099,1.1149
104,258337.6924967816,1.1257
105,258327.5467739079,1.1366
106,258317.5603678882,1.1475
107,258307.7308876019,1.1584
108,258298.0559651146,1.1692
109,258288.5332927363,1.1801
110,258279.1605950353,1.1910
111,258260.6195325710,1.2028
112,258254.4671540144,1.2127
113,258235.8394533195,1.2245
114,258230.2362341507,1.2344
115,258206.1047990886,1.2471
116,258200.0828090708,1.2570
117,258192.2151222851,1.2679
118,258176.4368805087,1.2798
119,258171.4379496453,1.2897
120,258155.5944546493,1.3015
121,258150.9322144510,1.3115
122,258144.4873409784,1.3223
123,258129.7686884707,1.3341
124,258125.1673738016,1.3441
125,258119.1084697629,1.3549
126,258105.2310313389,1.3667
127,258100.8265394956,1.3766
128,258095.1148066009,1.3875
129,258082.0614444652,1.3993
130,258077.8506696881,1.4092
131,258072.4721053078,1.4201
132,258060.2086394632,1.4319
133,258056.1858691742,1.4418
134,258051.1230819107,1.4527
135,258039.6567988209,1.4645
136,258035.8133975453,1.4782
