# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2104980.2502044505,0.0131
2,1506370.3247742816,0.0258
3,1393631.4250737622,0.0531
4,1263249.4745011104,0.0640
5,1144304.1347790819,0.0767
6,997550.2345055314,0.0912
7,871084.6647894371,0.1067
8,655909.4508468565,0.1221
9,458398.7858507682,0.1385
10,397109.2366449428,0.1562
11,307201.7654488632,0.1681
12,279435.9626326673,0.1800
13,275527.6393286664,0.1891
14,260616.0797928076,0.1981
15,259206.4518833281,0.2071
16,248025.9506976523,0.2162
17,245867.2866354409,0.2279
18,245594.1121595808,0.2370
19,244372.1088845343,0.2460
20,243819.3600724937,0.2910
21,243382.0083078597,0.3129
