# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2104980.2502044509,0.0176
2,1506370.3247742823,0.0338
3,1393631.4250737636,0.0682
4,1263249.4745011108,0.0790
5,1144304.1347790852,0.0917
6,997550.2345055683,0.1062
7,871084.6648133503,0.1216
8,655909.4541571182,0.1370
9,458398.9014853420,0.1533
10,397109.0171642051,0.1709
11,307201.6765378598,0.1827
12,279436.1026119723,0.1946
13,275526.6712412277,0.2035
14,260615.9687654747,0.2126
15,259206.3839252829,0.2216
16,248025.8801118100,0.2306
17,245867.2367886839,0.2423
18,245594.0831643979,0.2513
19,244372.0986910480,0.2603
20,243819.3511967689,0.3049
21,243382.0010075996,0.3268
