# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2274695.1544776559,0.0123
2,1506203.5600746716,0.0250
3,1127133.1806397079,0.0395
4,820037.3684094335,0.0531
5,497540.1090282695,0.0694
6,373473.4894675678,0.0866
7,312813.0367946288,0.1128
8,285659.1128541606,0.1291
9,271070.7342350102,0.1412
10,265559.8273820077,0.1542
11,262360.0589360229,0.1670
12,258725.3787165259,0.1786
13,257432.6881108890,0.1903
14,255127.4797478265,0.1993
15,253914.5363776609,0.2083
16,253203.8953403834,0.2173
17,252795.9473852571,0.2263
18,252186.4398221728,0.2353
19,251721.1085620188,0.2444
20,251342.4087102311,0.2534
21,251032.7964273868,0.2624
22,250775.3806348432,0.2714
23,250558.2592365185,0.2804
24,250372.8221782201,0.2895
25,250212.6849740842,0.2985
26,250072.9940518702,0.3075
27,249949.9726931580,0.3165
28,249840.7768642704,0.3255
29,249743.1869112231,0.3346
30,249358.7200818577,0.3436
31,249197.5500564112,0.3526
32,249057.5986772514,0.3616
33,248935.1586973718,0.3706
34,248826.8402453770,0.3796
35,248730.0030886027,0.3886
36,248642.5799806268,0.3977
37,248562.9418883505,0.4067
38,248419.7969805734,0.4166
39,248405.4178028167,0.4292
40,248402.0366134084,0.4420
41,248377.6111931110,0.4510
42,248354.7151683487,0.4600
43,248332.4606182071,0.4690
44,248310.8079482561,0.4780
45,248289.7208805030,0.4870
46,248269.1653077176,0.4960
47,248249.1092029747,0.5050
48,248229.5224757172,0.5140
49,248210.3774560820,0.5230
50,248174.9880527419,0.5329
51,248168.5294015109,0.5455
52,248161.6897392901,0.5634
53,248154.7926321313,0.5724
54,248144.4163107538,0.5824
55,248122.3465167083,0.5923
56,248094.1297513748,0.6023
57,248087.3048791144,0.6122
58,248082.1203373578,0.6222
59,248077.2341647219,0.6321
60,248072.6115076564,0.6420
61,248068.2459516422,0.6520
62,248064.1305365267,0.6619
63,248060.2572435105,0.6718
64,248056.6185833607,0.6818
65,248053.2057547469,0.6917
66,248036.9893451938,0.7008
67,248027.1464230079,0.7098
68,248023.8231059123,0.7197
69,248007.5123625543,0.7287
70,247997.8441935412,0.7378
71,247994.5690710386,0.7477
72,247978.1819687446,0.7567
73,247968.6875412295,0.7657
74,247965.4383198760,0.7757
75,247948.9936029773,0.7847
76,247939.6715771849,0.7936
77,247936.4215006013,0.8036
78,247919.9380544247,0.8126
79,247910.7867792878,0.8216
80,247907.5057292246,0.8316
81,247891.0024117932,0.8406
82,247882.0199622396,0.8497
83,247879.9895356471,0.8587
84,247863.6167160307,0.8677
85,247854.8599010282,0.8767
86,247851.2032872378,0.8866
87,247849.4968711610,0.8957
88,247832.6226856070,0.9046
89,247823.8328539599,0.9137
90,247819.9045839341,0.9236
91,247818.5086638730,0.9326
92,247801.1604968891,0.9416
93,247792.3360953436,0.9506
94,247791.1911125532,0.9596
95,247774.0730666312,0.9686
96,247765.4768442768,0.9776
97,247760.6507560205,0.9875
98,247743.6913795189,1.0019
99,247735.2890272176,1.0109
100,247730.1343925722,1.0208
101,247713.3488469686,1.0352
102,247705.1397503392,1.0442
103,247699.6026682986,1.0541
104,247683.0106906570,1.0685
105,247674.9938241151,1.0775
106,247669.0166318714,1.0874
107,247652.6379609636,1.1018
108,247644.8127961318,1.1108
109,247638.3374039411,1.1207
110,247622.1919175076,1.1351
111,247614.5584165685,1.1441
112,247607.5303834503,1.1541
113,247605.4494421900,1.1658
114,247605.0037167936,1.1784
115,247602.8060117271,1.1874
116,247600.8885372791,1.1974
117,247599.9964572294,1.2064
118,247599.1063229709,1.2154
119,247598.2179692016,1.2244
120,247597.3308752119,1.2334
121,247596.4446340218,1.2424
122,247595.5588189817,1.2514
123,247594.6730106883,1.2604
124,247593.7867888749,1.2694
125,247592.8997343750,1.2785
126,247592.0114268754,1.2875
127,247591.1214477196,1.2965
128,247590.2293780448,1.3055
