# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2104980.2502044518,0.0130
2,1508432.0885968420,0.0239
3,1394456.7588458236,0.0475
4,1263807.3298991672,0.0583
5,1144782.3365576740,0.0711
6,998052.3745343537,0.0856
7,834641.5728184433,0.1011
8,568283.3870620592,0.1175
9,418064.1663791075,0.1356
10,311138.1363288679,0.1473
11,290503.1425637879,0.1601
12,277909.0256949470,0.1691
13,274757.7932190273,0.1781
14,269654.6228112725,0.1872
15,263727.8409901219,0.2015
16,261719.5215336195,0.2106
17,260058.4873012032,0.2196
18,258868.3828579488,0.2286
19,257935.8713491891,0.2376
20,253040.0165512148,0.2466
21,252240.5129932330,0.2556
22,251609.4223453359,0.2647
23,249445.0775782009,0.2746
24,249182.1069401336,0.2872
25,249151.0193129196,0.2991
26,249139.2187782247,0.3110
27,249102.0227049095,0.3200
28,249040.0580853624,0.3343
29,249008.8845532091,0.3433
30,248978.1612232768,0.3523
31,248947.8208238754,0.3613
32,248917.8396674372,0.3703
33,248888.1953138542,0.3794
34,248858.8664675481,0.3884
35,248829.8329272249,0.3974
36,248801.0755450874,0.4064
37,248772.5761780602,0.4154
38,248744.3176395249,0.4244
39,248716.2836644684,0.4335
40,248688.4588681897,0.4425
41,248660.8286996108,0.4515
42,248633.3794081190,0.4605
43,248606.0980027441,0.4696
44,248578.9722125574,0.4786
45,248551.9904531883,0.4876
46,248525.1417852197,0.4966
47,248321.0502696638,0.5065
48,248233.0084054405,0.5174
49,248226.8931625682,0.5290
50,248225.0041422753,0.5419
51,248223.7275214771,0.5547
52,248222.5692129447,0.5674
53,248221.4741050290,0.5802
54,248220.4299063308,0.5929
55,248219.3886931031,0.6028
56,248218.5356876238,0.6128
57,248217.2547040857,0.6227
58,248215.9824814560,0.6326
59,248214.7190027046,0.6425
60,248213.4642478414,0.6525
61,248212.2182072129,0.6624
62,248210.9807019381,0.6723
63,248209.7516706696,0.6822
64,248208.5310689327,0.6922
65,248207.3188548151,0.7021
