# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322446,0.0440
2,3723398.1420859937,0.0947
3,2649101.3772308445,0.1572
4,2226168.8556154943,0.1939
5,2066043.5410868749,0.2464
6,2011018.1843574401,0.3912
7,1933816.1714484529,0.4446
8,1905775.9099675564,0.4981
9,1892542.8845418540,0.5564
10,1887028.6172442248,0.6279
11,1881985.6590196504,0.6861
12,1878052.4698971962,0.7444
13,1876426.0810105666,0.8010
14,1874012.5070886172,0.8593
15,1872790.9988046933,0.9147
16,1870793.2962310617,0.9731
17,1869793.2628903626,1.0285
18,1868063.2582820777,1.0869
19,1867135.7331735722,1.1423
20,1865831.2215696129,1.2007
21,1864938.5457727290,1.2561
22,1863717.3908554509,1.3145
23,1862858.6581422372,1.3700
24,1861686.4776854105,1.4283
25,1860858.1676761589,1.4838
26,1860300.4024640969,1.5392
27,1859148.2760782458,1.5976
28,1858437.3465653982,1.6530
29,1857368.4103582925,1.7104
30,1856724.4536965638,1.7650
31,1855873.0561609201,1.8223
32,1855275.0566285842,1.8767
33,1854509.5317138834,1.9341
34,1853781.6909810086,1.9915
35,1853134.4919583332,2.0489
36,1852576.2490424751,2.1062
37,1851964.3432542693,2.1636
38,1851541.1975253045,2.2181
39,1851033.2772086514,2.2754
40,1850584.3896900762,2.3328
41,1850143.3763056439,2.3922
42,1849733.3224890025,2.4506
43,1849406.7390467066,2.5091
44,1848978.8582971888,2.5674
45,1848643.2237513897,2.6229
46,1848309.7656992911,2.6813
47,1848015.3604240033,2.7395
48,1847712.3570932280,2.7978
49,1847451.1698804053,2.8572
50,1847242.0493491604,2.9165
51,1846976.3863310481,2.9757
52,1846699.9121233709,3.0322
53,1846484.7041839235,3.0915
54,1846273.1788678733,3.1508
55,1846051.9036262119,3.2113
56,1845873.2090889972,3.2706
57,1845722.8078062958,3.3300
58,1845432.7635463153,3.3864
59,1845397.7537460674,3.4458
60,1845006.5688479370,3.5022
61,1844997.9305652620,3.5616
62,1844668.4798460857,3.6180
63,1844656.8162968729,3.6774
64,1844285.1554122220,3.7339
65,1798671.2623206018,3.7873
66,1789157.9299930197,3.8399
67,1788002.1185932835,3.8895
68,1787318.0881106518,3.9429
69,1786890.2914070138,3.9944
70,1786684.0282845998,4.0489
71,1786386.4961924748,4.1005
72,1786148.6968663698,4.1548
73,1785959.2999122189,4.2082
74,1785789.2098960527,4.2617
75,1785556.3824697188,4.3152
76,1785359.9741081728,4.3687
77,1785118.7305148297,4.4192
78,1784984.6833863973,4.4726
79,1784735.2708794344,4.5232
80,1784609.7915469755,4.5767
81,1784382.8584169203,4.6302
82,1784210.2617212988,4.6838
83,1783980.7325969983,4.7343
84,1783867.3695648052,4.7879
85,1783632.7638540545,4.8385
86,1783525.4992952107,4.8921
87,1783294.5354447600,4.9427
88,1783193.7647225833,4.9963
89,1782967.7314063483,5.0469
90,1782870.5602015606,5.1003
91,1782670.4473076314,5.1538
92,1782524.9903006984,5.2073
93,1782315.0040450753,5.2580
94,1782224.1257939441,5.3115
95,1782006.2281243699,5.3622
96,1781920.2704702045,5.4157
97,1781736.9890272806,5.4692
