# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,10162713.9549437333,0.0787
2,4684119.8382181935,0.1898
3,3498713.9182931357,0.6154
4,2900137.6145643699,0.7707
5,2721320.1735513345,1.2093
6,2685537.2838250636,1.5190
7,2674146.5083827744,1.9580
8,2663556.7964073513,2.8235
9,2661479.7775290092,3.2656
10,2661097.5360254818,3.7079
11,2658085.9042338855,4.1507
12,2656263.6062463745,4.5935
13,2654949.2030974948,5.0378
14,2651199.4176716851,5.4811
15,2650751.0076235975,5.9229
16,2647540.0892809602,6.3663
17,2646921.1307796612,6.8087
18,2643831.4422437963,7.2497
19,2640960.2463539350,7.6925
20,2638463.8184212944,8.1335
21,2621841.3399650855,8.5726
22,2584219.4025304401,8.9978
23,2581646.4648981201,9.7654
24,2578655.0609564488,10.1907
25,2577688.6413021060,10.6155
26,2576184.1796494853,11.0406
27,2575014.4825262232,11.4672
28,2573894.0313723958,11.8923
29,2572862.7492538625,12.3176
30,2571844.0528434291,12.7424
31,2570935.0802962105,13.1673
32,2570060.8375585303,13.5934
33,2569232.5659127994,14.0190
34,2568435.0096141277,14.4439
35,2567691.3843225152,14.8686
36,2566967.9261367423,15.2934
37,2566280.5575791779,15.7184
38,2565588.9592870623,16.1434
39,2564922.2641813010,16.5697
40,2564254.3928932319,16.9947
41,2563626.6391650299,17.4201
42,2563001.9836350791,17.8450
43,2562392.8675219957,18.2699
44,2561792.8286234885,18.6949
45,2561206.8304275349,19.1196
46,2560629.5212469036,19.5442
47,2560069.8677836908,19.9697
48,2559513.7080034968,20.3961
49,2558943.2947228882,20.8213
50,2558397.4422192485,21.2461
51,2557865.8869485687,21.6710
52,2557343.8503259234,22.0959
53,2556794.3051768634,22.5209
54,2556251.9322803505,22.9461
55,2555749.8758931034,23.3713
56,2555230.0311178938,23.7962
57,2554727.6660291450,24.2213
58,2554234.3894577641,24.6462
59,2553594.8699833346,25.0724
60,2552995.5879195640,25.4978
61,2552419.4882057300,25.9232
62,2551869.5745139997,26.3480
63,2551255.2514399500,26.7728
64,2550666.0811896073,27.1977
65,2550155.7336672246,27.6228
66,2549660.3903888627,28.0476
67,2549185.1882763370,28.4726
68,2548718.7254855391,28.8974
69,2548266.4582800251,29.3221
70,2547815.2079852070,29.7470
71,2547374.0715635270,30.1718
72,2546939.0599718848,30.5969
73,2546509.9896236532,31.0220
74,2546080.6345865792,31.4485
75,2545659.8678467330,31.8736
76,2545244.0180543470,32.2983
77,2544838.2821770147,32.7233
78,2544431.3404371180,33.1482
79,2544037.3715297617,33.5732
80,2543643.0707002962,33.9980
81,2543257.4500494609,34.4231
82,2542887.3062652550,34.8482
83,2542522.9026628206,35.2731
84,2542162.0174529450,35.6977
85,2541805.5617339336,36.1226
86,2541450.7064668792,36.5473
87,2541100.4627009211,36.9722
88,2540750.5417185850,37.3968
89,2540402.5282644746,37.8216
90,2540045.3970857565,38.2466
91,2539694.6450214800,38.6711
92,2539357.5920183859,39.0972
93,2539022.1378832497,39.5234
94,2538680.3205709090,39.9493
95,2538457.5206372980,40.3756
96,2538043.2140842532,40.8016
97,2537695.9433559407,41.2277
98,2537361.0817165049,41.6540
99,2537035.6946915672,42.0800
100,2536708.2893082662,42.5061
101,2536385.4319424289,42.9323
102,2536079.4462959794,43.3585
103,2535774.2545751496,43.7848
104,2535475.6672288184,44.2107
105,2535169.3817694895,44.6366
106,2534862.6077227467,45.0626
107,2534513.7513377094,45.4891
108,2534151.1485996731,45.9151
109,2533795.3117990582,46.3413
110,2533444.4480660525,46.7677
111,2533108.1191723133,47.1941
112,2532773.9244852937,47.6203
113,2532436.6166504910,48.0521
114,2532107.3496507071,48.4781
115,2531778.9363615252,48.9045
116,2531462.7237184434,49.3309
117,2531155.2604846042,49.7575
118,2530864.2844293932,50.1837
119,2530571.9226202797,50.6100
120,2530282.8548729015,51.0356
121,2529996.6635552300,51.4618
122,2529712.3195513943,51.8893
123,2529434.3825111017,52.3155
124,2529147.3396332506,52.7434
125,2528860.1831761580,53.1694
126,2528581.9802912981,53.5957
127,2528306.8754493217,54.0220
128,2528033.5189220924,54.4481
129,2527766.0294043995,54.8743
130,2527504.6473894794,55.3004
131,2527230.0617311574,55.7265
132,2526963.2729298580,56.1527
133,2526698.9928627005,56.5787
134,2526437.4563628510,57.0048
135,2526180.3760633543,57.4312
136,2525921.4999721493,57.8572
137,2525664.0691263685,58.2833
138,2525401.9452655963,58.7093
139,2525147.7464492121,59.1353
140,2525043.9456353537,59.5616
