# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322483,0.0439
2,3723398.1420859988,0.0963
3,2649101.3772305525,0.1638
4,2222822.2595811263,0.2033
5,2043410.2361525840,0.2560
6,2002349.4366420179,0.3274
7,1973758.9835650735,0.3920
8,1973287.1184046690,0.4459
9,1972396.3648139120,0.4999
10,1955731.4256374917,0.5928
11,1951409.4230683767,0.6849
12,1949420.9741095186,0.7401
13,1947843.5785695293,0.7941
14,1946432.3389008876,0.8481
15,1945221.1330195719,0.9011
16,1943824.2327401065,0.9541
17,1921431.9218109983,1.0442
18,1889657.6074661191,1.0804
19,1889097.9393665537,1.1305
20,1888847.0909991863,1.1816
21,1888609.0142837525,1.2326
22,1888358.5621112145,1.2838
23,1888094.1367453369,1.3348
24,1887816.0273509901,1.3859
25,1887523.6519059031,1.4370
26,1887217.2181170196,1.4881
27,1886897.2272056655,1.5393
28,1886564.0137033961,1.5905
29,1886218.2419576936,1.6416
30,1885859.9788842122,1.6928
31,1885490.1046098070,1.7439
32,1885110.1990802134,1.7950
33,1884720.5522048702,1.8462
34,1884322.4911502113,1.8973
35,1883915.8073001734,1.9484
36,1883501.4301220099,1.9995
37,1883079.1918599957,2.0506
38,1882651.0529202705,2.1017
39,1881926.8442270120,2.1557
40,1881470.0961877333,2.2097
41,1874385.8291220556,2.2788
42,1870933.7240833533,2.3377
43,1865004.4129603696,2.4080
44,1854401.2032422919,2.4558
45,1842517.6553299909,2.5251
46,1842057.5863618716,2.5772
47,1841589.4525092002,2.6293
48,1841101.6739164011,2.6814
49,1840584.9029600478,2.7336
50,1840032.8050799507,2.7857
51,1834474.2026894395,2.8701
52,1826040.4963844393,2.9121
53,1824810.5025149775,2.9622
54,1815158.4552433968,3.0187
55,1814245.8697764825,3.0678
56,1807357.0617679984,3.1041
57,1794295.4935276650,3.3144
58,1779629.9295280918,3.4372
59,1774094.5046134875,3.5599
60,1746131.3709092005,3.6148
61,1740585.9937494518,3.6765
