# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,6547059.3075566245,0.0469
2,3700154.8289913610,0.0994
3,2699381.9091725750,0.1694
4,2337903.1588110253,0.2057
5,2214768.1252523488,0.2419
6,2043905.3469270822,0.3243
7,2000701.1573066348,0.3850
8,1954447.9621119832,0.4524
9,1927077.9714736186,0.5228
10,1912412.8243588093,0.5969
11,1911709.0347036989,0.6509
12,1911318.1499114293,0.7058
13,1911159.5732639236,0.7630
14,1897524.9936625543,0.8749
15,1880876.4086298721,0.9261
16,1866436.7596938761,0.9762
17,1861620.0586480428,1.0253
18,1860739.1634553082,1.0756
19,1855547.5574237206,1.1117
20,1854405.2962776057,1.1609
21,1853757.6298398389,1.2100
22,1853036.4413309516,1.2592
23,1852277.8497935883,1.3083
24,1851123.2751434741,1.3649
25,1849997.4719832691,1.4011
26,1848892.7861357541,1.4373
27,1847809.5159799571,1.4735
28,1846747.6046074193,1.5097
29,1845706.9905933901,1.5460
30,1844687.6108473400,1.5822
31,1843689.3972521510,1.6184
32,1842712.2844925409,1.6547
33,1841756.2194587255,1.6909
34,1840845.9818533738,1.7271
35,1839924.1890844628,1.7633
36,1838986.1638790967,1.7995
37,1838035.9531282093,1.8357
38,1837078.0191187381,1.8719
39,1836116.6669193895,1.9082
40,1835156.0797754000,1.9443
41,1834199.9556203715,1.9806
42,1833251.9481365643,2.0167
43,1832315.5830914301,2.0529
44,1831394.1486402934,2.0890
45,1830475.8927915778,2.1253
46,1829566.7370465561,2.1615
47,1828345.4934913395,2.1977
48,1827000.8908365457,2.2340
49,1825597.2421595806,2.2702
50,1821115.1531012096,2.3236
51,1814012.2414430575,2.3800
52,1808272.3909909264,2.4492
53,1805724.8556876488,2.4854
54,1799778.6956163608,2.5518
55,1795515.8101096652,2.6182
56,1788289.6185473218,2.6544
57,1784855.2333508562,2.7411
58,1775265.3203220379,2.7773
59,1754298.0519790489,2.9675
60,1739164.1708419384,3.0685
