# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624681,0.0000
1,2274695.1544776564,0.0120
2,1506203.5600746716,0.0248
3,1127133.1806397105,0.0393
4,820037.3684094200,0.0530
5,497540.1090282738,0.0694
6,373473.4894667753,0.0867
7,312813.0368394737,0.1130
8,285659.0642118951,0.1293
9,272518.4361434105,0.1414
10,268093.4932054744,0.1544
11,262901.8684806248,0.1671
12,259806.9402403087,0.1797
13,258234.7939455044,0.1914
14,257216.9221758596,0.2040
15,255439.1338347848,0.2130
16,254090.5162074402,0.2230
17,253178.1007070082,0.2330
18,252537.9450443193,0.2429
19,252327.2403077125,0.2529
20,252082.9856525334,0.2628
21,251866.3217425454,0.2728
22,251030.5684826437,0.2828
23,250961.4339919445,0.2928
24,250888.9684019006,0.3027
25,250834.0484283735,0.3127
26,250790.3768053631,0.3226
27,250753.9849127652,0.3326
28,250725.9424632514,0.3425
29,250701.4353883731,0.3524
30,250681.0103649065,0.3687
31,250660.8409218962,0.3786
32,250643.7754954556,0.3886
33,250627.7425684348,0.3986
34,250619.1444483210,0.4148
35,250603.6504157613,0.4248
36,250590.4052234576,0.4347
37,250175.5327277208,0.4481
38,250063.5006028136,0.4572
39,249981.9547619507,0.4662
40,249912.7544200191,0.4753
41,249858.6924059342,0.4843
42,249815.4559864767,0.4934
43,249781.5749067379,0.5024
44,249752.1653537712,0.5115
45,249726.1685848993,0.5205
46,249702.7564257944,0.5295
47,249682.1145450452,0.5386
48,249663.9137167869,0.5477
49,249647.7161554959,0.5567
50,249633.1293281823,0.5658
51,249620.0807120492,0.5748
52,249608.3361276436,0.5838
53,249597.9168093269,0.5929
54,249588.6169096116,0.6019
55,249580.2990549794,0.6110
56,249572.6817930294,0.6200
57,249565.6821964603,0.6290
58,249559.2321340799,0.6381
59,249553.2721733007,0.6471
60,249547.7431901914,0.6562
61,249542.5951128009,0.6652
62,249537.7879210245,0.6743
63,249533.2862285599,0.6833
64,249529.0690180172,0.6923
65,249525.1137881864,0.7013
66,249521.3944769816,0.7104
67,249517.8879794047,0.7194
68,249514.5767188313,0.7284
69,249511.4514667422,0.7375
70,249508.4959213401,0.7465
71,249505.6903730199,0.7555
72,249503.0127254315,0.7646
73,249500.4530783493,0.7736
74,249498.0288376168,0.7826
75,249495.7286856999,0.7917
76,249493.5334132622,0.8007
77,249491.4304382821,0.8097
78,249489.4272746715,0.8187
79,249487.5170243608,0.8277
80,249485.6855030407,0.8368
81,249483.9116454351,0.8458
82,249482.1898500615,0.8549
83,249480.5104830569,0.8639
84,249478.8751535552,0.8729
85,249477.2851168722,0.8819
86,249475.7373900884,0.8909
87,249474.2292389039,0.9000
88,249472.7615380758,0.9090
89,249471.3334107163,0.9180
