# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,3885946.3606600417,0.0218
2,2274789.7410859037,0.0413
3,1715498.9935501893,0.0746
4,1327554.6889753740,0.1079
5,886104.1937813764,0.1568
6,686984.5327139383,0.2077
7,612115.0202754668,0.2585
8,548266.1673693062,0.2862
9,515839.3769553408,0.3121
10,506559.5435006616,0.3638
11,504880.0063224584,0.4349
12,503193.4724154396,0.4747
13,498458.5262119255,0.5486
14,498306.5462639200,0.5810
15,498233.0228546357,0.6282
16,497952.2033956539,0.6864
17,497951.2484813529,0.7621
18,497951.1629078431,0.8011
19,497951.1376915539,0.8428
20,497951.1257755798,0.8844
21,497951.1177228816,0.9370
22,497951.0974408619,0.9787
23,497951.0948294158,1.0203
24,497951.0928823302,1.0983
25,497951.0926363323,1.1399
26,497951.0905988851,1.1806
27,497951.0905444660,1.2595
28,497951.0905437954,1.3426
29,497951.0905436306,1.3880
30,497951.0905436108,1.5018
31,497951.0905436038,1.5711
32,497951.0905436018,1.6147
