# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624718,0.0000
1,2274695.1544776587,0.0120
2,1506203.5600746702,0.0247
3,1127133.1806397086,0.0392
4,820037.3684094318,0.0528
5,497540.1090283000,0.0692
6,373473.4894678458,0.0864
7,312813.0368008862,0.1126
8,285659.0955956830,0.1289
9,271070.7168678174,0.1410
10,265559.8524790887,0.1540
11,262360.0662284329,0.1668
12,258725.3772336223,0.1785
13,257432.5993115727,0.1902
14,255127.3272637992,0.1992
15,253914.3053909923,0.2082
16,253204.3236621565,0.2172
17,252795.9443316456,0.2263
18,252186.4145040851,0.2353
19,251721.0848072057,0.2443
20,251342.3869079332,0.2533
21,251032.7766602196,0.2624
22,250775.3630183982,0.2714
23,250558.2437202856,0.2804
24,250372.8087114101,0.2894
25,250212.6736714766,0.2984
26,250072.9851438239,0.3074
27,249949.9659017074,0.3165
28,249840.7722436696,0.3255
29,249743.1834499906,0.3345
30,249358.7162240056,0.3435
31,249197.5461723008,0.3526
32,249057.5947613278,0.3616
33,248935.1545411174,0.3706
34,248826.8358116936,0.3796
35,248729.9983168139,0.3886
36,248642.5750353901,0.3977
37,248562.9367113536,0.4067
38,248419.7805767625,0.4167
39,248405.4031900754,0.4293
40,248402.0444743627,0.4421
41,248377.6175826837,0.4511
42,248354.7217915072,0.4601
43,248332.4678200320,0.4691
44,248310.8160357220,0.4782
45,248289.7301410221,0.4872
46,248269.1761149968,0.4961
47,248249.1219887802,0.5051
48,248229.5380674345,0.5142
49,248210.3964430652,0.5232
50,248175.0454052430,0.5331
51,248168.6117717097,0.5457
52,248161.8270700146,0.5637
53,248155.1702001095,0.5728
54,248147.0946527169,0.5827
55,248143.2692501592,0.5927
56,248125.8286448959,0.6026
57,248119.2238383267,0.6126
58,248090.0816459691,0.6226
59,248083.2662161454,0.6325
60,248078.5305983173,0.6424
61,248074.0855268649,0.6523
62,248069.8809718421,0.6623
63,248065.9103168407,0.6723
64,248062.1657959491,0.6822
65,248058.6397327222,0.6921
66,248042.3854916502,0.7012
67,248032.5099012337,0.7102
68,248029.0606361981,0.7202
69,248012.7041239108,0.7292
70,248002.9985482538,0.7382
71,247999.5866852774,0.7482
72,247983.1473443710,0.7572
73,247973.6120073594,0.7662
74,247970.2184340301,0.7762
75,247953.7166527468,0.7852
76,247944.3514915763,0.7942
77,247940.9527004037,0.8042
78,247924.4090803398,0.8132
79,247915.2136679835,0.8223
80,247911.7802804468,0.8322
81,247909.3934546254,0.8413
82,247892.3323362823,0.8503
83,247883.1288764224,0.8594
84,247881.0858933209,0.8684
85,247864.1892199122,0.8774
86,247855.2241142266,0.8864
87,247851.2942118500,0.8963
88,247849.5728018844,0.9053
89,247832.1926135241,0.9143
90,247823.2031852577,0.9233
91,247818.9584596171,0.9333
92,247817.5455770227,0.9423
93,247799.7154196360,0.9514
94,247790.7025771099,0.9604
95,247789.5402448925,0.9694
96,247771.9762492660,0.9784
97,247763.2068931535,0.9874
98,247757.9831554778,0.9974
99,247740.6216632815,1.0118
100,247732.0658934304,1.0208
101,247726.4891283301,1.0307
102,247709.3450538746,1.0450
103,247701.0019499413,1.0541
104,247695.0159731505,1.0640
105,247678.1087898129,1.0784
106,247669.9768557050,1.0874
107,247663.5222480656,1.0973
108,247646.8711358186,1.1117
109,247638.9492791244,1.1207
110,247631.9653712077,1.1306
111,247615.5893732839,1.1450
112,247573.8045662931,1.1549
113,247571.9065473759,1.1666
114,247571.5022313784,1.1792
115,247569.4540870055,1.1883
116,247567.6644906836,1.1982
117,247566.8731367432,1.2072
118,247566.0839400867,1.2162
119,247565.2966938956,1.2252
120,247564.5108961622,1.2343
121,247563.7261699202,1.2433
122,247562.9421113823,1.2523
123,247562.1583379260,1.2613
124,247561.3744544789,1.2703
125,247560.5900690126,1.2793
126,247559.8047847535,1.2883
127,247559.0181969483,1.2974
128,247558.2299113247,1.3064
