# algo=mfree_shifted_cg problem=/workspace/bal/venice-52.txt
iter,cost,wall_s
0,11152062.7727624699,0.0000
1,2104980.2502044509,0.0129
2,1506370.3247742816,0.0256
3,1393631.4250737613,0.0529
4,1263249.4745011085,0.0637
5,1144304.1347790805,0.0764
6,997550.2345055384,0.0909
7,871084.6647819526,0.1063
8,655909.4495726750,0.1217
9,458398.8094811970,0.1381
10,397109.1297208769,0.1557
11,307201.6964720472,0.1675
12,279436.0432561272,0.1793
13,275527.4086296251,0.1883
14,260616.1290767650,0.1973
15,259206.4694150407,0.2063
16,248025.9516059952,0.2153
17,245867.2785269579,0.2271
18,245594.1060671154,0.2360
19,244372.1062303061,0.2450
20,243819.3579775288,0.2899
21,243382.0056233737,0.3118
