# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783458,0.0120
2,869806.2790742539,0.0246
3,567418.6040721694,0.0415
4,400594.1646215606,0.0506
5,371447.4905174464,0.0658
6,362562.8273453858,0.0750
7,360836.3600388204,0.1034
8,359915.0623372680,0.1281
9,359384.4123934972,0.1400
10,359238.6990337425,0.1518
11,359181.9384401313,0.1637
12,359164.6819918427,0.1755
13,358999.9047603216,0.1847
14,358973.1075864466,0.1938
15,358961.0138919443,0.2056
16,358958.8533371872,0.2176
17,358952.4941891462,0.2349
18,358950.3169239440,0.2440
19,358949.7029725536,0.2558
20,358949.3586988662,0.2676
21,358949.0637303838,0.2794
22,358948.7785314656,0.2912
23,358948.5119055072,0.3031
24,358948.2488744362,0.3149
25,358947.9359589074,0.3240
26,358947.6228733045,0.3332
27,358947.3065033784,0.3423
28,358946.9901413656,0.3514
29,358946.7071135592,0.3605
30,358946.3892664515,0.3696
31,358946.0753452682,0.3787
32,358946.0359664053,0.3930
33,358945.9081557247,0.4021
