# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357318,0.0000
1,2170136.3176783458,0.0123
2,869806.2790742544,0.0247
3,567418.6040721700,0.0414
4,400594.1646215629,0.0505
5,371447.4905176208,0.0655
6,362562.8273562785,0.0745
7,360836.3558446638,0.1027
8,359914.8614388189,0.1272
9,359384.3197721190,0.1389
10,359238.6702653354,0.1506
11,359181.9109306462,0.1623
12,359164.6585708169,0.1740
13,358999.5200483694,0.1831
14,358973.1374600873,0.1921
15,358961.2176731823,0.2038
16,358959.0680477719,0.2158
17,358952.6965795652,0.2329
18,358950.5358642083,0.2419
19,358949.9283069514,0.2536
20,358949.5858837025,0.2654
21,358949.2907136228,0.2771
22,358949.0053865655,0.2888
23,358948.7375857706,0.3006
24,358948.4707851794,0.3123
25,358948.2115651667,0.3240
26,358947.8934752365,0.3382
27,358947.5767890828,0.3472
28,358947.2613266003,0.3562
29,358947.1662548878,0.3703
30,358947.0553005363,0.3793
31,358946.9498282023,0.3986
32,358946.9340680055,0.4076
33,358946.9034971414,0.4166
