# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357430,0.0000
1,2170136.3176783500,0.0120
2,869806.2790742527,0.0247
3,567418.6040721688,0.0416
4,400594.1646215605,0.0507
5,371447.4905176174,0.0658
6,362562.8273565088,0.0750
7,436284.0822878510,0.1006
8,374491.7783768106,0.1097
9,363678.7495857700,0.1266
10,360098.1856171569,0.1452
11,358588.0564251459,0.1543
12,358140.1666476340,0.1634
13,358110.4726760550,0.1725
14,358124.6632013994,0.1816
15,358054.5866963718,0.1907
16,358044.4802645941,0.2145
17,358046.1141760692,0.2245
18,358040.3083600815,0.2335
19,358039.5989684655,0.2427
20,358038.8389305099,0.2519
21,358038.1556106564,0.2611
22,358033.5998612710,0.2702
23,358030.0591132281,0.2802
24,358028.4334719036,0.2911
25,358027.8804419030,0.3002
26,358027.4977603406,0.3093
27,358025.2279565518,0.3185
28,358023.4535778376,0.3293
29,358022.7639693011,0.3393
30,358022.3559837980,0.3485
