# algo=mfree_shifted_cg problem=/workspace/bal/dubrovnik-88.txt
iter,cost,wall_s
0,30562787.8472357392,0.0000
1,2170136.3176783472,0.0130
2,869806.2790742539,0.0271
3,567418.6040721695,0.0460
4,400594.1646215603,0.0562
5,371447.4905173605,0.0731
6,362562.8273454449,0.0829
7,360836.3595211518,0.1114
8,359913.8962465061,0.1361
9,359383.5400903190,0.1479
10,359237.8441152202,0.1597
11,359181.0880467223,0.1716
12,359163.8214748350,0.1834
13,358998.8103508198,0.1926
14,358972.7950807137,0.2017
15,358960.5433491574,0.2135
16,358958.3761413711,0.2256
17,358958.1899745815,0.2377
18,358949.5713256224,0.2468
19,358949.0723716670,0.2586
20,358948.7463988926,0.2704
21,358948.4583266838,0.2822
22,358948.1796966775,0.2940
23,358947.9078741367,0.3058
24,358947.6426779358,0.3176
25,358947.3827074497,0.3296
26,358947.1272226152,0.3414
27,358946.8108102148,0.3557
28,358946.4962339708,0.3648
29,358946.1821071360,0.3739
30,358945.8690082186,0.3831
31,358945.5556413807,0.3922
32,358945.2592656635,0.4013
33,358944.9478601614,0.4104
34,358944.6372377996,0.4194
