# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402421,0.0000
1,7960085.9088322446,0.0435
2,3723398.1420859937,0.0959
3,2649101.3772306233,0.1633
4,2222822.2595824432,0.2021
5,2043410.2414618526,0.2541
6,2853762.4086697195,0.3105
7,2458003.4923432027,0.3468
8,2453923.1034522154,0.5222
9,1902915.7994605475,0.5584
10,1926648.7678034231,0.6610
11,1820821.6584123750,0.7001
12,1811537.6160399430,0.7830
13,1811332.4812381507,0.8571
14,1872163.3679960405,1.0588
15,1866638.1231791193,1.0950
16,1850168.9024176735,1.1312
17,1819120.5488126276,1.1674
18,1832295.5725821124,1.2036
19,1822097.8380002188,1.2397
20,1807567.0480276113,1.2759
21,1813002.1888622651,1.3121
22,1811410.8164344723,1.3484
23,1807640.8278344024,1.3846
24,1808930.8900633047,1.4207
25,1807522.4675077521,1.4569
26,1805087.8765774569,1.4931
27,1805296.3422965675,1.5294
28,1804999.2584489423,1.5657
29,1804461.9655811253,1.6019
30,1804798.0609627035,1.6381
31,1804472.9926800928,1.6743
32,1803891.1754841199,1.7105
33,1804002.0521770876,1.7466
34,1803719.2595516336,1.7828
35,1803227.5304099990,1.8190
36,1804144.7115433374,1.8552
37,1803773.2367125768,1.8913
38,1803014.8499943749,1.9276
39,1802432.8534617177,1.9638
40,1802537.9874823575,2.0000
41,1802250.4801768186,2.0363
42,1801775.6551297638,2.0726
43,1801725.0524524213,2.1087
44,1801612.7590950592,2.1449
45,1801428.5569674659,2.1811
46,1801405.1894028233,2.2323
47,1801386.3595363663,2.2833
48,1801372.2889820274,2.3353
49,1801365.2136072526,2.3902
50,1801364.2843182536,2.4841
51,1801362.5545429334,2.5343
52,1801352.8788083622,2.5705
53,1801352.4827847139,2.6216
54,1801350.9446338601,2.6717
55,1801333.8153720270,2.7247
56,1801331.9619079402,2.8012
57,1801331.6257726485,2.8374
58,1801330.3801514243,2.8736
59,1801330.5959623342,2.9098
60,1801330.2988326070,2.9460
61,1801329.6439474467,2.9822
62,1801328.9191974776,3.0183
63,1801328.5852631920,3.0545
