# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322492,0.0436
2,3723398.1420859937,0.0947
3,2649101.3772305730,0.1568
4,2222822.2595841419,0.1928
5,2043410.2328660437,0.2449
6,2002349.2222647329,0.3161
7,1975768.2901584087,0.3807
8,1975295.2488847575,0.4346
9,1974202.5614200446,0.4886
10,1973905.9517256606,0.5436
11,1951873.4199056022,0.5928
12,1912322.4734679519,0.6290
13,1904430.9083769517,0.6790
14,1902777.0992596417,0.7291
15,1901675.3640721682,0.7653
16,1900975.8961670650,0.8184
17,1900420.3336129636,0.8685
18,1900033.3398306535,0.9347
19,1899570.2691258602,0.9839
20,1899286.1991273554,1.0341
21,1898796.8165776413,1.0832
22,1897609.8757698887,1.1656
23,1896874.0419721042,1.2157
24,1896126.4181254171,1.2658
25,1895373.6544277598,1.3159
26,1894617.8729572422,1.3661
27,1893858.4064575315,1.4163
28,1893087.5418015078,1.4663
29,1892319.3248859390,1.5165
30,1891536.0657840515,1.5666
31,1890737.8830865314,1.6167
32,1889923.9406732258,1.6669
33,1889093.0502830844,1.7170
34,1888245.4913257654,1.7670
35,1887384.3313286807,1.8171
36,1886508.0401595968,1.8674
37,1885616.8122053687,1.9175
38,1884713.5593725266,1.9676
39,1883797.4496249759,2.0178
40,1882869.7236302278,2.0679
41,1881933.0445939023,2.1181
42,1880986.8388364722,2.1683
43,1879386.6379620561,2.2212
44,1877254.7958292908,2.2741
45,1873096.3249571396,2.3271
46,1862981.9861092477,2.3878
47,1862285.4480408512,2.4389
48,1861558.8026804209,2.4900
49,1860709.5920766112,2.5411
50,1859734.4052982118,2.5922
51,1857176.8468816252,2.6755
52,1855493.5548803501,2.7119
53,1853883.6401184252,2.7480
54,1846432.3036732522,2.8015
55,1836619.4946436298,2.8551
56,1835746.8992603270,2.9043
57,1827610.3747240424,2.9406
58,1811533.4873268188,3.0632
59,1805617.5259622491,3.1570
60,1786523.6361498379,3.2118
61,1778602.6708567746,3.2682
62,1770996.3607012634,3.3044
63,1764055.0338823409,3.3867
64,1753622.4203416870,3.4287
65,1745772.4069487434,3.4789
66,1742215.4104882597,3.5925
