# algo=mfree_shifted_cg problem=/workspace/bal/final-3068.txt
iter,cost,wall_s
0,90993342.0243402272,0.0000
1,7960085.9088322464,0.0436
2,3723398.1420859941,0.0950
3,2649101.3772308496,0.1577
4,2222822.2596001420,0.1939
5,2043410.2504967961,0.2459
6,2002349.2311641283,0.3171
7,1973710.7645633712,0.3816
8,1973319.9288490873,0.4356
9,1972296.4902759432,0.4895
10,1972012.9086341448,0.5445
11,1955565.2753607274,0.5995
12,1955188.0578490256,0.6544
13,1953245.0605070426,0.7504
14,1952255.4969866266,0.8088
15,1951565.8958478167,0.8637
16,1950946.2703974834,0.9187
17,1950265.5783978594,0.9726
18,1949546.3682778345,1.0267
19,1949201.8629025086,1.1225
20,1948906.8273009730,1.1784
21,1948629.7800544770,1.2343
22,1948350.4200685346,1.2892
23,1947971.0907135461,1.3442
24,1947856.8820989032,1.4001
25,1947686.1267827328,1.4560
26,1947491.9142386697,1.5120
27,1947467.8063990676,1.6078
28,1947404.7286904501,1.6637
29,1945719.3853632426,1.7138
30,1894095.4267756783,1.7501
31,1893669.5343289848,1.7864
32,1893416.9389435472,1.8364
33,1893335.5833836484,1.8875
34,1893056.1156483458,1.9548
35,1892518.0289913372,2.0059
36,1891514.7494398211,2.0569
37,1889113.4821154894,2.1100
38,1884460.6030169993,2.1630
39,1875764.6101353045,2.2161
40,1861879.4881218642,2.2681
41,1851761.6673547502,2.3259
42,1850505.3160152338,2.3770
43,1849726.7817418268,2.6947
44,1849236.4287038632,2.7459
45,1838402.0715433345,2.7821
46,1829740.4825250844,2.8326
47,1826439.9462484214,2.9063
48,1802178.8242468468,2.9856
49,1788769.0586383396,3.0881
50,1772920.9960352788,3.1905
51,1758914.9029985345,3.3045
52,1757207.8219166440,3.3681
53,1745766.2534384788,3.4043
54,1738451.5625477750,3.5427
